,Date,Open,High,Low,Close,Adj Close,Volume
0,2012-11-26,15.03,15.03,14.93,14.98,10.07151,156400
1,2012-12-03,14.99,15.0,14.98,14.99,10.078235,215000
2,2012-12-10,15.01,15.02,14.98,15.02,10.098401,159400
3,2012-12-17,15.04,15.1,15.0,15.06,10.125296,242200
4,2012-12-24,15.04,15.04,15.01,15.03,10.105123,11400
5,2012-12-31,15.1,15.13,15.03,15.09,10.181293,118900
6,2013-01-07,15.14,15.14,15.09,15.12,10.201535,110000
7,2013-01-14,15.15,15.2,15.12,15.14,10.215038,209900
8,2013-01-21,15.17,15.24,15.13,15.18,10.242022,1255500
9,2013-01-28,15.17,15.17,15.11,15.15,10.221777,524300
10,2013-02-04,15.2,15.21,15.14,15.2,10.292125,422700
11,2013-02-11,15.21,15.28,15.17,15.27,10.339519,690300
12,2013-02-18,15.28,15.34,15.27,15.32,10.373377,622600
13,2013-02-25,15.28,15.28,15.18,15.2,10.292125,984600
14,2013-03-04,15.23,15.32,15.2,15.29,10.389688,454200
15,2013-03-11,15.31,15.35,15.27,15.31,10.403277,990100
16,2013-03-18,15.32,15.33,15.28,15.33,10.416866,377200
17,2013-03-25,15.3,15.34,15.27,15.34,10.42366,383400
18,2013-04-01,15.35,15.35,15.3,15.32,10.446872,1179800
19,2013-04-08,15.33,15.33,15.23,15.26,10.405958,582800
20,2013-04-15,15.27,15.27,15.12,15.12,10.310488,689800
21,2013-04-22,15.15,15.2,15.11,15.14,10.324127,468300
22,2013-04-29,15.17,15.17,15.12,15.17,10.38149,507900
23,2013-05-06,15.19,15.24,15.16,15.2,10.402018,1497800
24,2013-05-13,15.2,15.2,15.16,15.19,10.395174,733900
25,2013-05-20,15.2,15.22,15.18,15.21,10.408865,540600
26,2013-05-27,15.21,15.21,15.03,15.03,10.285681,1009300
27,2013-06-03,15.03,15.07,14.98,15.01,10.308592,423900
28,2013-06-10,15.02,15.02,14.83,14.94,10.260515,713100
29,2013-06-17,14.91,14.96,14.67,14.67,10.075089,964900
30,2013-06-24,14.64,14.71,14.48,14.71,10.102559,553400
31,2013-07-01,14.66,14.79,14.66,14.73,10.153358,339400
32,2013-07-08,14.7,14.76,14.63,14.71,10.139569,419400
33,2013-07-15,14.7,14.71,14.61,14.63,10.084427,905400
34,2013-07-22,14.62,14.63,14.37,14.37,9.90521,1176600
35,2013-07-29,14.45,14.48,14.36,14.36,9.934526,593400
36,2013-08-05,14.39,14.39,14.06,14.1,9.754656,843900
37,2013-08-12,14.03,14.1,13.92,13.93,9.637046,522500
38,2013-08-19,13.93,14.12,13.77,14.12,9.768492,693700
39,2013-08-26,14.11,14.21,14.07,14.19,9.816919,434400
40,2013-09-02,14.25,14.25,14.12,14.15,9.826104,453400
41,2013-09-09,14.14,14.15,14.08,14.11,9.798323,562300
42,2013-09-16,14.12,14.3,14.1,14.24,9.888597,446500
43,2013-09-23,14.27,14.28,14.16,14.17,9.839995,544600
44,2013-09-30,14.17,14.2,14.1,14.13,9.848769,209000
45,2013-10-07,14.11,14.14,14.01,14.05,9.793009,267100
46,2013-10-14,14.03,14.05,13.97,14.0,9.758154,322100
47,2013-10-21,14.02,14.03,13.98,14.0,9.758154,392600
48,2013-10-28,13.99,14.03,13.96,14.02,9.772097,557600
49,2013-11-04,14.01,14.11,14.01,14.11,9.872198,408500
50,2013-11-11,14.1,14.23,14.09,14.17,9.914185,874200
51,2013-11-18,14.19,14.19,14.12,14.16,9.907183,255700
52,2013-11-25,14.15,14.18,14.08,14.16,9.907183,258200
53,2013-12-02,14.19,14.19,13.98,14.01,9.839089,507100
54,2013-12-09,13.95,13.98,13.84,13.92,9.775883,789400
55,2013-12-16,13.92,13.92,13.76,13.86,9.733742,437200
56,2013-12-23,13.87,13.9,13.78,13.83,9.712677,318100
57,2013-12-30,13.85,13.98,13.81,13.97,9.848684,74100
58,2014-01-06,13.95,14.06,13.95,14.06,9.912132,232200
59,2014-01-13,14.08,14.08,14.0,14.07,9.919184,241000
60,2014-01-20,14.08,14.11,14.03,14.07,9.919184,415900
61,2014-01-27,14.1,14.1,13.93,13.98,9.855737,189900
62,2014-02-03,14.0,14.0,13.85,13.86,9.80808,340800
63,2014-02-10,13.91,13.94,13.87,13.94,9.864692,397500
64,2014-02-17,13.94,13.98,13.93,13.98,9.893003,208100
65,2014-02-24,13.98,14.02,13.9,14.02,9.921308,1526800
66,2014-03-03,14.04,14.04,13.96,14.0,9.944858,254900
67,2014-03-10,14.01,14.03,13.98,14.03,9.966167,189600
68,2014-03-17,14.02,14.1,14.02,14.1,10.015889,215500
69,2014-03-24,14.1,14.14,14.06,14.08,10.001683,446700
70,2014-03-31,14.09,14.17,14.09,14.17,10.10205,246800
