,Date,Open,High,Low,Close,Adj Close,Volume
0,2010-06-01,14.92,15.06,14.75,14.97,10.337458,290000
1,2010-07-01,14.98,15.09,14.85,15.09,10.533076,493600
2,2010-08-01,15.09,15.24,14.99,15.24,10.637776,601500
3,2010-09-01,15.3,15.3,15.02,15.07,10.519118,211100
4,2010-10-01,15.07,15.16,15.05,15.11,10.659389,190400
5,2010-11-01,15.13,15.14,14.96,15.01,10.588841,174800
6,2010-12-01,15.0,15.05,14.82,14.87,10.490079,327300
7,2011-01-01,14.87,14.9,14.8,14.89,10.618642,290500
8,2011-02-01,14.87,14.87,14.72,14.75,10.556425,192800
9,2011-03-01,14.76,14.89,14.71,14.74,10.587082,333400
10,2011-04-01,14.74,14.81,14.67,14.76,10.63947,289700
11,2011-05-01,14.78,14.84,14.73,14.83,10.727671,260700
12,2011-06-01,14.83,14.98,14.79,14.86,10.787171,209300
13,2011-07-01,14.83,14.94,14.81,14.91,10.861197,190600
14,2011-08-01,14.94,15.15,14.94,14.97,10.942359,850100
15,2011-09-01,14.95,15.11,14.95,15.04,11.030875,159200
16,2011-10-01,15.04,15.05,14.89,14.94,10.994738,282800
17,2011-11-01,14.96,15.06,14.91,14.92,11.016724,257100
18,2011-12-01,14.95,15.16,14.94,14.97,11.090534,459400
19,2012-01-01,14.99,15.0,14.9,14.95,11.111182,133700
20,2012-02-01,14.93,14.96,14.82,14.84,11.064978,497000
21,2012-03-01,14.83,14.85,14.74,14.76,11.040893,325700
22,2012-04-01,14.75,14.79,14.64,14.71,11.039365,232400
23,2012-05-01,14.69,14.83,14.69,14.77,11.120684,117800
24,2012-06-01,14.84,14.86,14.74,14.82,11.194665,92400
25,2012-07-01,14.77,14.83,14.71,14.73,11.161397,560000
26,2012-08-01,14.71,14.75,14.66,14.69,11.165767,168200
27,2012-09-01,14.7,14.72,14.65,14.7,11.208393,303600
28,2012-10-01,14.71,14.71,14.63,14.67,11.219052,330500
