,Date,Open,High,Low,Close,Adj Close,Volume
0,2015-09-07,20.049999,20.049999,20.049999,20.049999,13.767001,0
1,2015-09-14,20.049999,20.15,19.84,19.84,13.6228,1900
2,2015-09-21,19.84,20.200001,19.84,20.1,13.801326,500
3,2015-09-28,20.09,20.110001,19.93,19.93,13.766382,8400
4,2015-10-05,19.84,19.84,19.67,19.67,13.586787,3300
5,2015-10-12,19.74,19.74,19.440001,19.440001,13.427922,1200
6,2015-10-19,19.65,20.120001,19.65,20.120001,13.897619,11200
7,2015-10-26,20.0,20.0,19.85,19.85,13.711123,9500
8,2015-11-02,19.85,20.049999,19.85,20.049999,13.933084,2600
9,2015-11-09,20.1,20.1,20.0,20.0,13.898331,2600
10,2015-11-16,20.08,20.139999,20.030001,20.139999,13.995618,1800
11,2015-11-23,20.18,20.18,20.030001,20.040001,13.926131,3300
12,2015-11-30,20.02,20.190001,20.0,20.059999,14.023746,24400
13,2015-12-07,20.059999,20.58,20.059999,20.559999,14.373292,1900
14,2015-12-14,20.469999,20.940001,20.459999,20.940001,14.638946,6900
15,2015-12-21,20.870001,20.92,20.799999,20.799999,14.541079,3100
16,2015-12-28,20.799999,20.889999,20.719999,20.719999,14.569202,1200
17,2016-01-04,20.9,20.93,20.860001,20.92,14.709834,3200
18,2016-01-11,20.92,21.450001,20.92,21.450001,15.082501,5800
19,2016-01-18,21.450001,21.450001,20.84,20.9,14.695772,11100
20,2016-01-25,20.9,21.040001,20.48,20.68,14.541079,19300
21,2016-02-01,20.709999,20.709999,20.16,20.4,14.426474,3100
22,2016-02-08,20.379999,20.379999,20.25,20.25,14.320395,2000
23,2016-02-15,20.32,20.459999,20.120001,20.33,14.376975,50100
24,2016-02-22,20.24,20.309999,19.84,19.92,14.087024,23200
25,2016-02-29,19.969999,20.030001,19.700001,19.700001,14.014378,15200
26,2016-03-07,19.780001,19.799999,19.549999,19.549999,13.907667,6700
27,2016-03-14,19.65,19.790001,19.15,19.24,13.687131,12100
28,2016-03-21,19.34,19.59,19.32,19.59,13.936126,2500
29,2016-03-28,19.49,19.49,19.0,19.209999,13.665792,17400
30,2016-04-04,19.209999,19.42,19.110001,19.110001,13.594656,2700
31,2016-04-11,19.16,19.16,18.82,18.99,13.509288,4100
32,2016-04-18,18.959999,18.959999,18.620001,18.700001,13.302984,15100
33,2016-04-25,18.719999,18.76,18.309999,18.33,13.039774,88400
34,2016-05-02,18.459999,18.9,18.35,18.9,13.53182,57700
35,2016-05-09,19.040001,19.040001,18.700001,18.85,13.496025,38000
36,2016-05-16,18.9,19.299999,18.860001,19.280001,13.803889,18600
37,2016-05-23,19.299999,19.33,18.889999,19.1,13.675012,20400
38,2016-05-30,19.200001,19.370001,18.98,19.0,13.688619,74100
39,2016-06-06,19.0,19.0,18.620001,18.77,13.522909,46300
40,2016-06-13,18.9,19.15,18.74,18.879999,13.602163,29900
41,2016-06-20,18.809999,19.110001,18.74,18.98,13.674205,33700
42,2016-06-27,18.870001,19.02,18.860001,18.950001,13.652598,15900
43,2016-07-04,18.950001,19.18,18.879999,19.16,13.891719,33700
44,2016-07-11,19.26,19.35,18.950001,19.059999,13.819209,71100
45,2016-07-18,19.1,19.41,19.02,19.41,14.072978,28500
46,2016-07-25,19.549999,19.549999,19.08,19.15,13.884469,23700
47,2016-08-01,19.17,19.43,19.08,19.41,14.160343,21800
48,2016-08-08,19.41,19.41,19.02,19.02,13.87582,28700
49,2016-08-15,19.030001,19.040001,18.809999,18.940001,13.817463,84200
50,2016-08-22,19.0,19.08,18.82,19.02,13.87582,82700
51,2016-08-29,19.07,19.26,19.02,19.059999,13.993148,49100
52,2016-09-05,18.969999,19.139999,18.82,19.110001,14.029854,59300
53,2016-09-12,19.24,19.450001,19.16,19.41,14.250105,31800
54,2016-09-19,19.34,19.450001,19.110001,19.41,14.250105,45300
55,2016-09-26,19.43,19.450001,19.200001,19.200001,14.095932,32600
56,2016-10-03,19.280001,19.4,19.219999,19.309999,14.261008,29600
57,2016-10-10,19.209999,19.33,19.07,19.07,14.083764,24500
58,2016-10-17,19.08,19.42,18.959999,19.41,14.334862,41400
59,2016-10-24,19.4,19.5,19.23,19.33,14.275779,32300
60,2016-10-31,19.309999,19.360001,19.09,19.200001,14.264286,44700
61,2016-11-07,19.24,19.52,19.200001,19.5,14.48716,82600
62,2016-11-14,19.5,19.700001,19.41,19.58,14.546602,150200
63,2016-11-21,19.469999,19.73,19.4,19.57,14.539171,227700
64,2016-11-28,19.450001,19.51,19.15,19.200001,14.347917,274900
65,2016-12-05,19.23,19.280001,19.09,19.129999,14.295602,215500
66,2016-12-12,19.07,19.450001,19.0,19.360001,14.467472,157900
67,2016-12-19,19.370001,19.620001,19.370001,19.620001,14.661778,118800
68,2016-12-26,19.65,19.65,19.389999,19.389999,14.575465,39300
69,2017-01-02,19.5,19.51,19.1,19.209999,14.440152,104000
70,2017-01-09,19.25,19.370001,19.030001,19.08,14.342433,252100
71,2017-01-16,19.059999,19.450001,18.99,19.4,14.582977,216000
72,2017-01-23,19.389999,19.389999,18.93,19.030001,14.30485,300300
73,2017-01-30,19.030001,19.030001,18.690001,18.82,14.232961,161600
74,2017-02-06,18.9,19.059999,18.879999,18.940001,14.323709,71400
75,2017-02-13,18.969999,19.040001,18.870001,19.01,14.376647,142200
76,2017-02-20,18.98,19.139999,18.799999,18.799999,14.217834,174500
77,2017-02-27,18.85,19.35,18.84,19.27,14.661736,186500
78,2017-03-06,19.209999,19.379999,19.209999,19.26,14.654137,81200
79,2017-03-13,19.280001,19.34,19.120001,19.24,14.638916,106100
80,2017-03-20,19.200001,19.24,19.1,19.139999,14.562826,96700
81,2017-03-27,19.120001,19.27,19.08,19.15,14.570436,91800
82,2017-04-03,19.27,19.280001,19.17,19.25,14.728308,48300
83,2017-04-10,19.24,19.24,19.040001,19.129999,14.636489,123100
84,2017-04-17,19.139999,19.5,19.120001,19.5,14.91958,160600
85,2017-04-24,19.459999,19.639999,19.445,19.6,14.996092,154600
86,2017-05-01,19.6,19.709999,19.540001,19.540001,15.032504,56100
87,2017-05-08,19.65,19.74,19.610001,19.709999,15.163282,61900
88,2017-05-15,19.65,19.67,19.450001,19.450001,14.963269,75900
89,2017-05-22,19.43,19.49,19.24,19.25,14.809403,84400
90,2017-05-29,19.26,19.389999,19.25,19.309999,14.937738,47300
91,2017-06-05,19.33,19.33,19.200001,19.32,14.945471,45900
92,2017-06-12,19.32,19.32,18.9,18.93,14.64378,191500
93,2017-06-19,18.950001,19.07,18.91,19.030001,14.721135,73600
94,2017-06-26,18.99,19.01,18.459999,18.48,14.295671,159000
95,2017-07-03,18.450001,18.549999,18.35,18.35,14.266402,55300
96,2017-07-10,18.309999,18.51,18.139999,18.15,14.110912,76500
97,2017-07-17,18.15,18.23,17.969999,17.969999,13.970963,118400
98,2017-07-24,18.0,18.040001,17.73,17.809999,13.846571,147900
99,2017-07-31,17.799999,18.110001,17.799999,18.1,14.146613,56300
100,2017-08-07,18.17,18.17,17.959999,18.01,14.07627,27800
101,2017-08-14,18.049999,18.200001,17.75,17.799999,13.912138,44400
