,Date,Open,High,Low,Close,Adj Close,Volume
0,2010-02-01,13.86,14.41,13.54,14.35,13.236608,191700
1,2010-03-01,14.55,15.56,14.53,15.41,14.214362,1404400
2,2010-04-01,15.49,16.209999,15.34,15.75,14.550659,1297500
3,2010-05-01,15.72,16.01,11.11,14.54,13.432797,867400
4,2010-06-01,14.34,15.15,13.73,13.75,12.702958,541300
5,2010-07-01,13.6,14.85,13.41,14.49,13.404182,466500
6,2010-08-01,14.79,14.94,13.66,13.79,12.756639,570100
7,2010-09-01,13.89,15.73,13.89,15.51,14.347748,243300
8,2010-10-01,15.55,16.549999,15.2,16.48,15.27035,337500
9,2010-11-01,16.629999,17.059999,16.200001,16.49,15.279615,624300
10,2010-12-01,16.799999,17.4,16.76,17.18,15.918967,524600
11,2011-01-01,17.469999,18.17,17.34,17.700001,16.414061,704400
12,2011-02-01,17.9,18.639999,17.73,18.190001,16.86846,554700
13,2011-03-01,18.24,18.440001,16.940001,18.15,16.831369,1006400
14,2011-04-01,18.24,18.73,17.51,18.68,17.322865,301900
15,2011-05-01,18.76,18.82,17.84,18.4,17.063206,326500
16,2011-06-01,18.469999,18.49,16.940001,18.07,16.757179,514200
17,2011-07-01,18.25,18.93,18.0,18.389999,17.05393,390500
18,2011-08-01,18.24,18.52,15.75,17.309999,16.052393,568800
19,2011-09-01,17.43,18.17,16.370001,16.620001,15.412526,253400
20,2011-10-01,16.549999,18.57,15.92,18.360001,17.02611,521200
21,2011-11-01,17.75,18.559999,16.48,17.719999,16.432608,234100
22,2011-12-01,17.889999,18.129999,17.120001,17.540001,16.265686,140100
23,2012-01-01,17.799999,19.08,17.77,18.99,17.724529,354500
24,2012-02-01,19.059999,20.34,19.059999,20.190001,18.844561,521400
25,2012-03-01,20.24,21.49,19.84,21.23,19.815258,484700
26,2012-04-01,21.26,21.530001,20.27,20.98,19.581917,275500
27,2012-05-01,20.98,21.209999,19.120001,19.43,18.135208,191200
28,2012-06-01,19.16,20.24,18.85,20.1,18.760559,261000
29,2012-07-01,20.26,20.48,19.530001,20.35,18.9939,152300
30,2012-08-01,20.33,21.57,20.15,21.360001,19.936596,163200
31,2012-09-01,21.389999,22.200001,21.16,21.690001,20.244602,332200
32,2012-10-01,21.59,21.969999,20.370001,20.49,19.124571,269200
33,2012-11-01,20.58,20.889999,19.35,20.74,19.35791,273700
34,2012-12-01,20.889999,20.959999,19.99,20.43,19.068565,327600
35,2013-01-01,20.889999,21.25,20.799999,21.040001,19.786728,400400
36,2013-02-01,21.07,21.459999,20.719999,21.17,19.908981,320600
37,2013-03-01,21.0,21.700001,20.950001,21.700001,20.407413,301400
38,2013-04-01,21.74,22.25,21.08,22.25,20.92465,467300
39,2013-05-01,22.209999,23.51,22.129999,23.09,21.714617,382300
40,2013-06-01,23.08,23.27,21.83,22.629999,21.282019,196500
41,2013-07-01,23.5,23.940001,22.6,23.93,22.50458,241900
42,2013-08-01,24.110001,24.389999,23.709999,23.879999,22.45756,91700
43,2013-09-01,23.950001,25.190001,23.870001,24.93,23.445015,142800
44,2013-10-01,25.059999,26.450001,24.25,26.290001,24.724005,209600
45,2013-11-01,26.299999,27.200001,25.82,27.15,25.532778,176300
46,2013-12-01,27.209999,27.950001,26.719999,27.719999,26.068825,221700
47,2014-01-01,27.57,28.040001,26.709999,27.18,25.807261,316300
48,2014-02-01,27.17,28.75,26.51,28.35,26.918167,158000
49,2014-03-01,28.290001,28.879999,27.440001,27.83,26.424431,240200
50,2014-04-01,27.93,28.42,26.530001,27.68,26.282007,353200
51,2014-05-01,27.690001,29.02,27.200001,28.91,27.449883,121000
52,2014-06-01,28.92,29.92,28.799999,29.879999,28.370893,85000
53,2014-07-01,30.15,31.1,29.809999,30.27,28.741196,87800
54,2014-08-01,30.07,31.77,29.950001,31.719999,30.117966,89800
55,2014-09-01,31.879999,32.040001,31.16,31.540001,29.947062,125200
56,2014-10-01,31.360001,32.400002,28.84,32.380001,30.744633,395700
57,2014-11-01,32.540001,33.950001,32.18,33.900002,32.187859,175400
58,2014-12-01,33.919998,33.919998,32.02,32.650002,31.000996,301900
59,2015-01-01,32.990002,33.119999,31.440001,31.959999,30.773378,408600
60,2015-02-01,32.130001,34.490002,31.610001,34.18,32.910957,360500
61,2015-03-01,34.25,34.509998,33.0,33.41,32.16954,424900
62,2015-04-01,33.459999,35.09,33.049999,33.93,32.670235,322200
63,2015-05-01,34.07,35.099998,33.529999,34.82,33.527195,152100
64,2015-06-01,34.849998,35.23,33.830002,34.0,32.737637,202500
65,2015-07-01,34.150002,36.360001,33.610001,35.549999,34.230087,367600
66,2015-08-01,35.549999,35.900002,28.49,33.189999,31.957705,610400
67,2015-09-01,32.490002,34.43,31.43,32.380001,31.177786,268400
68,2015-10-01,32.490002,36.25,32.0,36.049999,34.711521,301600
69,2015-11-01,36.23,36.740002,34.759998,36.16,34.81744,299400
70,2015-12-01,36.360001,36.700001,34.689999,35.330002,34.018257,572600
71,2016-01-01,34.139999,34.759998,30.440001,32.779999,31.816507,776800
72,2016-02-01,32.529999,33.0,29.92,32.34,31.389435,864600
73,2016-03-01,32.779999,34.619999,32.540001,34.369999,33.359772,410800
74,2016-04-01,34.18,35.130001,33.099998,33.310001,32.330929,348000
75,2016-05-01,33.41,34.91,32.880001,34.689999,33.670361,162100
76,2016-06-01,34.869999,34.900002,32.220001,34.009998,33.010345,348700
77,2016-07-01,34.25,36.52,33.73,36.48,35.407749,188000
78,2016-08-01,36.41,37.290001,36.119999,36.790001,35.708633,269100
79,2016-09-01,36.59,37.740002,35.860001,37.66,36.55307,222100
80,2016-10-01,37.59,37.959999,36.75,37.060001,35.970707,177100
81,2016-11-01,36.970001,37.790001,35.75,37.220001,36.126003,325800
82,2016-12-01,37.060001,38.310001,36.380001,37.27,36.174526,289700
83,2017-01-01,37.41,39.549999,37.400002,39.080002,38.242901,281300
84,2017-02-01,39.380001,41.0,39.18,40.799999,39.92606,326000
85,2017-03-01,41.0,41.720001,40.669998,41.66,40.767639,319500
86,2017-04-01,41.68,42.91,41.0,42.740002,41.824505,395500
