,Date,Open,High,Low,Close,Adj Close,Volume
0,2010-06-01,15.09,15.58,14.82,15.13,8.786187,549000
1,2010-07-01,15.21,16.110001,15.2,16.07,9.332056,220300
2,2010-08-01,16.07,16.809999,15.93,16.809999,9.761778,405900
3,2010-09-01,16.860001,17.57,16.809999,17.57,10.203123,422400
4,2010-10-01,17.530001,17.93,17.33,17.65,10.249579,311200
5,2010-11-01,17.75,17.969999,16.84,17.26,10.023101,496300
6,2010-12-01,17.32,17.4,16.85,17.139999,9.953416,318900
7,2011-01-01,17.280001,17.73,17.129999,17.540001,10.38979,705800
8,2011-02-01,17.67,18.219999,17.450001,18.02,10.726127,398000
9,2011-03-01,18.110001,18.809999,17.5,18.809999,11.249364,337400
10,2011-04-01,18.879999,18.879999,18.389999,18.690001,11.229357,288300
11,2011-05-01,18.700001,18.860001,18.620001,18.809999,11.352262,263900
12,2011-06-01,18.85,18.85,18.049999,18.5,11.215468,338300
13,2011-07-01,18.540001,18.700001,18.129999,18.23,11.102191,321300
14,2011-08-01,18.24,18.24,16.01,17.700001,10.827526,577000
15,2011-09-01,17.76,17.860001,17.26,17.389999,10.688938,312700
16,2011-10-01,17.33,17.799999,16.26,17.780001,10.981252,362900
17,2011-11-01,17.57,18.25,17.42,18.09,11.226785,617300
18,2011-12-01,18.1,18.540001,17.99,18.43,11.492182,762100
19,2012-01-01,18.540001,19.26,18.459999,19.02,11.913733,912900
20,2012-02-01,19.040001,19.620001,19.030001,19.610001,12.33888,718300
21,2012-03-01,19.530001,19.82,19.049999,19.34,12.2208,886200
22,2012-04-01,19.34,20.139999,19.18,20.1,12.755692,475300
23,2012-05-01,20.15,20.26,19.82,20.01,12.752468,493800
24,2012-06-01,19.950001,20.120001,19.6,20.049999,12.831023,473400
25,2012-07-01,20.1,21.190001,20.1,20.860001,13.405813,480600
26,2012-08-01,20.940001,21.299999,20.629999,20.709999,13.362224,780800
27,2012-09-01,20.74,20.969999,20.469999,20.92,13.550899,402800
28,2012-10-01,20.99,20.99,20.299999,20.629999,13.415194,688100
29,2012-11-01,20.66,20.790001,19.65,20.02,13.070118,562700
30,2012-12-01,20.18,20.73,19.940001,20.73,13.588264,515800
31,2013-01-01,20.77,21.110001,20.48,21.09,13.878786,664700
32,2013-02-01,21.139999,21.200001,20.85,21.01,13.87955,728500
33,2013-03-01,21.030001,21.030001,20.68,20.91,13.866693,583700
34,2013-04-01,20.98,21.67,20.790001,21.67,14.426634,608700
35,2013-05-01,21.610001,21.639999,20.450001,20.559999,13.739491,779100
36,2013-06-01,20.629999,20.629999,18.26,19.15,12.846118,2721300
37,2013-07-01,19.209999,19.389999,18.5,18.559999,12.504768,2082900
38,2013-08-01,18.65,18.65,17.799999,17.93,12.132469,620000
39,2013-09-01,18.040001,18.860001,17.91,18.469999,12.554512,689300
40,2013-10-01,18.440001,19.15,18.18,18.879999,12.889304,818100
41,2013-11-01,18.969999,19.040001,18.200001,18.42,12.628926,629400
42,2013-12-01,18.389999,18.790001,17.98,18.790001,12.939418,675300
43,2014-01-01,18.74,19.07,18.540001,18.860001,13.044952,817100
44,2014-02-01,18.82,19.290001,18.67,19.27,13.388059,846100
45,2014-03-01,19.17,19.379999,19.01,19.360001,13.509693,495000
46,2014-04-01,19.360001,19.780001,19.209999,19.629999,13.757542,390600
47,2014-05-01,19.6,20.030001,19.51,19.68,13.850799,447900
48,2014-06-01,19.700001,20.0,19.559999,19.860001,14.036108,400000
49,2014-07-01,19.889999,20.120001,19.530001,19.76,14.02416,468600
50,2014-08-01,19.709999,20.43,19.709999,20.18,14.381813,351700
51,2014-09-01,20.200001,20.309999,19.35,19.549999,13.990088,379600
52,2014-10-01,19.540001,20.15,19.200001,20.15,14.480773,490600
53,2014-11-01,20.17,20.25,19.860001,20.09,14.497726,334000
54,2014-12-01,19.969999,20.01,18.690001,19.41,14.065125,624500
55,2015-01-01,19.450001,21.09,19.450001,20.85,15.173509,664400
56,2015-02-01,20.85,21.1,20.549999,20.860001,15.241105,592400
57,2015-03-01,20.9,21.040001,19.790001,20.51,15.045251,597500
58,2015-04-01,20.5,20.98,20.440001,20.629999,15.198204,407300
59,2015-05-01,20.68,20.790001,19.58,19.58,14.485803,433100
60,2015-06-01,19.549999,19.92,19.0,19.34,14.371543,609900
61,2015-07-01,19.379999,19.98,18.83,19.24,14.36129,500900
62,2015-08-01,19.25,19.33,17.35,18.280001,13.708482,628400
63,2015-09-01,18.18,18.469999,17.91,18.34,13.821303,652700
64,2015-10-01,18.33,18.99,18.1,18.379999,13.919122,464200
65,2015-11-01,18.389999,18.4,17.59,17.99,13.688025,871100
66,2015-12-01,17.959999,18.02,16.719999,17.440001,13.334804,999300
67,2016-01-01,17.389999,17.469999,16.040001,17.35,13.332768,1318200
68,2016-02-01,17.34,17.91,16.43,17.84,13.779199,890400
69,2016-03-01,17.889999,19.1,17.889999,18.809999,14.600877,1153800
70,2016-04-01,18.790001,19.32,18.75,19.219999,14.990277,663500
71,2016-05-01,19.200001,19.73,18.879999,19.360001,15.169245,405100
72,2016-06-01,19.33,20.23,19.280001,20.23,15.994815,531200
73,2016-07-01,20.299999,20.629999,20.15,20.6,16.360361,496600
74,2016-08-01,20.620001,20.620001,19.469999,19.5,15.553356,533800
75,2016-09-01,19.52,19.879999,19.1,19.459999,15.589978,427400
76,2016-10-01,19.49,19.49,18.690001,18.809999,15.137626,470700
77,2016-11-01,18.85,18.85,17.879999,18.57,15.013075,1156800
78,2016-12-01,18.559999,19.309999,18.49,19.27,15.653907,736000
79,2017-01-01,19.32,19.540001,19.15,19.389999,15.824524,594500
80,2017-02-01,19.379999,20.030001,19.26,19.870001,16.289818,517200
81,2017-03-01,19.870001,20.0,19.440001,19.889999,16.378424,691300
82,2017-04-01,19.92,20.540001,19.860001,20.200001,16.707577,403800
83,2017-05-01,20.200001,20.450001,20.0,20.219999,16.796637,395000
84,2017-06-01,20.23,20.5,20.0,20.059999,16.736425,356700
85,2017-07-01,20.09,20.1,19.67,19.719999,16.523899,244200
86,2017-08-01,19.74,19.99,19.58,19.959999,16.7994,335600
87,2017-09-01,19.93,19.950001,19.610001,19.84,16.772274,366700
88,2017-10-01,19.889999,20.379999,19.860001,20.209999,17.161146,347700
89,2017-11-01,20.23,20.84,20.190001,20.639999,17.602766,440400
90,2017-12-01,20.620001,21.049999,20.530001,20.91,17.909142,555700
91,2018-01-01,20.9,21.26,20.59,20.98,18.045624,1133600
92,2018-02-01,20.950001,20.950001,19.860001,20.629999,17.81591,1070200
93,2018-03-01,20.620001,21.059999,20.540001,21.0,18.210577,408100
94,2018-04-01,20.969999,21.1,20.58,20.879999,18.180784,338800
95,2018-05-01,20.870001,21.790001,20.860001,21.440001,18.745543,376300
96,2018-06-01,21.459999,21.799999,21.4,21.59,18.95092,268800
97,2018-07-01,21.58,21.99,21.469999,21.67,19.096191,291300
98,2018-08-01,21.690001,22.530001,21.6,22.07,19.525373,298200
99,2018-09-01,22.049999,22.68,21.82,21.879999,19.431711,431100
100,2018-10-01,21.92,21.92,20.92,21.43,19.104692,657600
101,2018-11-01,21.51,22.059999,21.139999,21.620001,19.350651,697900
102,2018-12-01,21.719999,21.83,20.24,20.6,18.511244,2304200
103,2019-01-01,20.540001,22.35,20.290001,22.219999,20.051105,881100
104,2019-02-01,22.200001,23.049999,22.049999,23.02,20.852463,552800
105,2019-03-01,23.059999,23.85,22.93,23.780001,21.621649,499700
106,2019-04-01,23.82,23.82,22.809999,22.99,20.978374,842800
107,2019-05-01,22.950001,23.9,22.85,23.360001,21.395378,371800
108,2019-06-01,23.43,24.040001,23.129999,23.379999,21.490961,341400
109,2019-07-01,23.309999,24.0,23.309999,23.799999,21.955076,357200
110,2019-08-01,23.84,24.6,23.700001,24.559999,22.736824,376800
111,2019-09-01,24.26,25.280001,24.1,25.15,23.364624,386700
112,2019-10-01,25.16,25.73,24.620001,24.889999,23.20146,370600
113,2019-11-01,24.91,25.52,24.52,25.450001,23.805,437000
114,2019-12-01,25.459999,25.700001,24.48,24.83,23.303362,554000
115,2020-01-01,24.860001,26.17,24.35,25.77,24.282854,834700
116,2020-02-01,25.76,27.27,24.690001,24.98,23.620495,1435100
117,2020-03-01,24.98,26.889999,14.43,18.24,17.312466,4480800
