,Date,Open,High,Low,Close,Adj Close,Volume
0,2010-06-01,15.09,15.16,14.78,15.13,12.182351,33500
1,2010-07-01,15.13,15.2,14.76,14.86,11.964951,109200
2,2010-08-01,14.86,15.63,14.86,15.42,12.41585,14900
3,2010-09-01,15.42,15.79,15.26,15.68,12.625204,15400
4,2010-10-01,15.61,16.02,15.55,15.82,12.737923,64200
5,2010-11-01,15.91,15.91,15.31,15.88,12.786236,317700
6,2010-12-01,15.88,15.88,15.22,15.75,12.681555,207000
7,2011-01-01,15.79,15.79,15.21,15.24,12.346723,210400
8,2011-02-01,15.25,15.58,14.89,15.58,12.649379,127100
9,2011-03-01,15.48,15.97,15.43,15.78,12.839692,236600
10,2011-04-01,15.8,16.290001,15.72,16.23,13.23329,197200
11,2011-05-01,16.23,16.530001,16.23,16.440001,13.430077,112400
12,2011-06-01,16.43,16.49,16.08,16.23,13.283649,166800
13,2011-07-01,16.4,16.98,16.360001,16.82,13.792595,64200
14,2011-08-01,17.200001,17.75,16.82,16.82,13.8189,75000
15,2011-09-01,16.82,17.280001,16.780001,16.92,13.927275,78700
16,2011-10-01,17.17,17.389999,16.809999,17.25,14.225728,78900
17,2011-11-01,17.5,17.799999,17.5,17.65,14.581168,55800
18,2011-12-01,17.709999,18.469999,17.65,18.34,15.176862,115900
19,2012-01-01,18.26,18.59,17.83,18.25,15.126457,158100
20,2012-02-01,18.370001,18.4,17.690001,18.139999,15.058831,524900
21,2012-03-01,18.040001,18.15,17.540001,17.84,14.832966,71600
22,2012-04-01,17.889999,18.110001,17.719999,17.82,14.839674,38000
23,2012-05-01,17.82,18.59,17.82,18.52,15.446833,69500
24,2012-06-01,18.59,18.639999,18.209999,18.209999,15.211324,87100
25,2012-07-01,18.299999,18.719999,18.299999,18.58,15.544063,70800
26,2012-08-01,18.559999,18.66,17.879999,18.35,15.374884,78800
27,2012-09-01,18.309999,18.48,17.969999,18.469999,15.499136,161100
28,2012-10-01,18.450001,18.889999,18.129999,18.360001,15.430494,185000
29,2012-11-01,18.440001,18.58,18.309999,18.51,15.580474,69000
30,2012-12-01,18.450001,18.59,18.299999,18.379999,15.494658,67600
31,2013-01-01,18.16,18.25,17.719999,17.809999,15.037129,433700
32,2013-02-01,17.76,17.790001,17.42,17.700001,14.967706,168200
33,2013-03-01,17.74,17.92,17.559999,17.889999,15.152435,699200
34,2013-04-01,17.92,18.389999,17.9,18.280001,15.507071,374300
35,2013-05-01,18.33,18.360001,17.32,17.33,14.723767,249200
36,2013-06-01,17.379999,17.5,15.76,16.040001,13.64957,272500
37,2013-07-01,16.32,16.549999,16.129999,16.16,13.774311,143600
38,2013-08-01,16.280001,16.34,15.76,16.1,13.745138,329300
39,2013-09-01,16.01,16.08,15.41,16.059999,13.733444,55400
40,2013-10-01,16.08,16.549999,15.9,16.43,14.072942,98000
41,2013-11-01,16.309999,16.35,15.84,16.040001,13.760562,128300
42,2013-12-01,16.02,16.02,15.63,15.74,13.525216,62600
43,2014-01-01,15.75,16.469999,15.71,16.35,14.08145,95800
44,2014-02-01,16.41,16.57,16.09,16.57,14.293535,65500
45,2014-03-01,16.610001,16.73,16.379999,16.639999,14.376954,72500
46,2014-04-01,16.59,16.799999,16.4,16.73,14.477336,43700
47,2014-05-01,16.75,17.280001,16.639999,17.200001,14.907159,308300
48,2014-06-01,17.059999,17.34,16.870001,17.34,15.051533,79000
49,2014-07-01,17.18,17.75,17.01,17.700001,15.387398,43100
50,2014-08-01,17.799999,17.85,17.48,17.75,15.45361,57500
51,2014-09-01,17.59,17.610001,17.030001,17.34,15.118918,70200
52,2014-10-01,17.34,17.92,17.25,17.440001,15.229167,72200
53,2014-11-01,17.41,17.629999,17.190001,17.620001,15.40929,67200
54,2014-12-01,17.610001,17.690001,17.139999,17.450001,15.2834,270400
55,2015-01-01,17.48,18.84,17.48,18.83,16.540905,62300
56,2015-02-01,18.98,19.08,18.15,19.08,16.784302,112100
57,2015-03-01,18.99,18.99,18.18,18.65,16.428976,66700
58,2015-04-01,18.75,18.969999,18.190001,18.309999,16.151884,32300
59,2015-05-01,18.219999,18.23,17.610001,17.82,15.741435,50000
60,2015-06-01,18.040001,18.040001,17.18,17.799999,15.746804,36600
61,2015-07-01,17.780001,18.309999,17.59,18.24,16.159863,70600
62,2015-08-01,18.17,18.25,17.299999,17.440001,15.47323,74600
63,2015-09-01,17.450001,17.860001,17.360001,17.58,15.620459,22400
64,2015-10-01,17.610001,17.610001,17.0,17.129999,15.242929,47600
65,2015-11-01,17.040001,17.33,16.83,17.209999,15.337134,198600
66,2015-12-01,17.389999,17.620001,17.23,17.620001,15.729939,66500
67,2016-01-01,17.530001,17.66,17.049999,17.5,15.658663,69700
68,2016-02-01,17.32,17.83,17.26,17.549999,15.726323,57100
69,2016-03-01,17.52,17.799999,17.219999,17.799999,15.973178,39000
70,2016-04-01,17.799999,18.139999,17.690001,17.83,16.022705,30300
71,2016-05-01,17.809999,18.17,17.75,18.110001,16.297264,56800
72,2016-06-01,18.059999,18.41,17.889999,18.379999,16.586498,43600
