,Date,Open,High,Low,Close,Adj Close,Volume
0,2020-02-25,29.73,29.73,29.73,29.73,29.32575,0
1,2020-02-26,27.870001,27.870001,27.870001,27.870001,27.491039,200
2,2020-02-27,27.870001,27.870001,27.870001,27.870001,27.491039,0
3,2020-02-28,27.870001,27.870001,27.870001,27.870001,27.491039,0
4,2020-03-02,26.52,26.52,26.52,26.52,26.159399,100
5,2020-03-03,26.700001,26.700001,26.48,26.48,26.11994,300
6,2020-03-04,26.969999,26.969999,26.969999,26.969999,26.603279,2000
7,2020-03-05,26.969999,26.969999,26.969999,26.969999,26.603279,0
8,2020-03-06,26.969999,26.969999,26.969999,26.969999,26.603279,0
9,2020-03-09,24.030001,24.030001,24.030001,24.030001,23.703259,100
10,2020-03-10,24.030001,24.030001,24.030001,24.030001,23.703259,0
11,2020-03-11,24.030001,24.030001,24.030001,24.030001,23.703259,0
12,2020-03-12,21.75,21.75,21.75,21.75,21.454256,200
13,2020-03-13,21.389999,21.389999,21.389999,21.389999,21.09915,300
14,2020-03-16,21.389999,21.389999,21.389999,21.389999,21.09915,0
15,2020-03-17,19.32,19.32,19.32,19.32,19.057297,1300
16,2020-03-18,20.0,20.0,19.32,19.32,19.057297,1800
17,2020-03-19,19.32,19.32,19.32,19.32,19.057297,0
18,2020-03-20,19.32,19.32,19.32,19.32,19.057297,0
19,2020-03-23,19.23,19.23,19.23,19.23,18.968523,100
20,2020-03-24,20.49,20.49,20.49,20.49,20.21139,1600
21,2020-03-25,21.540001,21.540001,21.540001,21.540001,21.247112,700
22,2020-03-26,21.540001,21.540001,21.540001,21.540001,21.247112,0
23,2020-03-27,21.540001,21.540001,21.540001,21.540001,21.247112,0
24,2020-03-30,21.540001,21.540001,21.540001,21.540001,21.247112,0
25,2020-03-31,21.540001,21.540001,21.540001,21.540001,21.247112,0
26,2020-04-01,21.540001,21.540001,21.540001,21.540001,21.247112,0
27,2020-04-02,20.049999,20.049999,20.049999,20.049999,19.77737,200
28,2020-04-03,20.049999,20.049999,20.049999,20.049999,19.77737,0
29,2020-04-06,20.049999,20.049999,20.049999,20.049999,19.77737,0
30,2020-04-07,21.059999,21.059999,21.059999,21.059999,20.77364,100
31,2020-04-08,21.93,22.0,21.93,22.0,21.700857,500
32,2020-04-09,22.0,22.0,22.0,22.0,21.700857,0
33,2020-04-13,21.799999,21.799999,21.799999,21.799999,21.503576,200
34,2020-04-14,21.799999,21.799999,21.799999,21.799999,21.503576,0
35,2020-04-15,21.799999,21.799999,21.799999,21.799999,21.503576,0
36,2020-04-16,21.799999,21.799999,21.799999,21.799999,21.503576,200
37,2020-04-17,21.799999,21.799999,21.799999,21.799999,21.503576,0
38,2020-04-20,21.799999,21.799999,21.799999,21.799999,21.503576,0
39,2020-04-21,21.799999,21.799999,21.799999,21.799999,21.503576,0
40,2020-04-22,21.940001,21.940001,21.940001,21.940001,21.641674,100
41,2020-04-23,21.940001,21.940001,21.940001,21.940001,21.641674,0
42,2020-04-24,21.940001,21.940001,21.940001,21.940001,21.641674,0
43,2020-04-27,21.940001,21.940001,21.940001,21.940001,21.641674,0
44,2020-04-28,21.940001,21.940001,21.940001,21.940001,21.641674,0
45,2020-04-29,21.940001,21.940001,21.940001,21.940001,21.641674,0
46,2020-04-30,23.83,23.83,23.83,23.83,23.505974,200
47,2020-05-01,23.83,23.83,23.83,23.83,23.505974,0
48,2020-05-04,23.83,23.83,23.83,23.83,23.505974,0
49,2020-05-05,23.83,23.83,23.83,23.83,23.505974,0
50,2020-05-06,23.83,23.83,23.83,23.83,23.505974,0
