,Date,Open,High,Low,Close,Adj Close,Volume
0,2014-02-10,15.0,15.0,15.0,15.0,12.619741,300
1,2014-02-17,15.02,15.02,14.99,14.99,12.611327,97500
2,2014-02-24,15.0,15.01,14.99,14.99,12.611327,33300
3,2014-03-03,14.99,15.01,14.97,14.97,12.616373,1036900
4,2014-03-10,14.97,14.99,14.95,14.99,12.633228,1900
5,2014-03-17,14.96,15.0,14.94,14.94,12.591084,7400
6,2014-03-24,14.94,14.95,14.93,14.95,12.599514,2500
7,2014-03-31,14.93,14.96,14.91,14.96,12.630754,21800
8,2014-04-07,14.95,15.0,14.95,15.0,12.664527,200300
9,2014-04-14,15.0,15.01,14.99,14.99,12.656082,18500
10,2014-04-21,14.95,14.96,14.95,14.95,12.62231,700
11,2014-04-28,14.95,15.0,14.94,14.99,12.678981,33500
12,2014-05-05,14.99,15.01,14.99,15.01,12.6959,10100
13,2014-05-12,15.01,15.02,15.01,15.02,12.704359,1600
14,2014-05-19,15.05,15.05,15.02,15.05,12.729731,500
15,2014-05-26,15.09,15.09,14.99,14.99,12.678981,18100
16,2014-06-02,15.0,15.0,14.96,15.0,12.710186,4500
17,2014-06-09,15.04,15.04,15.0,15.0,12.710186,9800
18,2014-06-16,15.0,15.04,14.97,14.97,12.684763,28600
19,2014-06-23,15.02,15.02,15.0,15.0,12.710186,136800
20,2014-06-30,14.97,14.99,14.97,14.99,12.724584,3500
21,2014-07-07,14.99,14.99,14.97,14.97,12.707603,400
22,2014-07-14,14.97,15.04,14.97,15.04,12.767027,3600
23,2014-07-21,15.04,15.04,14.97,15.03,12.758536,500
24,2014-07-28,15.01,15.01,14.97,14.97,12.707603,4300
25,2014-08-04,15.02,15.05,15.02,15.05,12.798503,7200
26,2014-08-11,15.03,15.04,15.01,15.03,12.781505,5300
27,2014-08-18,15.04,15.04,15.02,15.02,12.772993,2900
28,2014-08-25,15.02,15.02,15.02,15.02,12.772993,0
29,2014-09-01,14.97,14.97,14.97,14.97,12.7534,500
30,2014-09-08,14.97,14.97,14.95,14.95,12.73636,2300
31,2014-09-15,14.95,14.96,14.95,14.95,12.73636,1000
32,2014-09-22,14.95,14.95,14.93,14.93,12.71932,300
33,2014-09-29,14.88,14.98,14.88,14.95,12.758549,81400
34,2014-10-06,14.95,15.0,14.93,14.96,12.767084,5200
35,2014-10-13,15.0,15.12,15.0,15.12,12.903631,3100
36,2014-10-20,15.04,15.04,14.98,15.04,12.835357,4400
37,2014-10-27,15.04,15.04,14.95,14.98,12.784152,10100
38,2014-11-03,14.9,14.96,14.87,14.94,12.772093,1200
39,2014-11-10,14.94,14.97,14.92,14.97,12.797744,1100
40,2014-11-17,14.94,14.98,14.93,14.98,12.806291,2200
41,2014-11-24,14.98,15.03,14.94,15.03,12.849035,1600
42,2014-12-01,14.91,15.03,14.91,14.96,12.811428,3200
43,2014-12-08,14.94,14.94,14.88,14.94,12.794296,0
44,2014-12-15,14.96,14.96,14.92,14.93,12.785742,0
45,2014-12-22,14.88,14.88,14.85,14.85,12.717227,0
46,2014-12-29,14.85,14.87,14.85,14.87,12.756645,0
47,2015-01-05,14.88,14.99,14.88,14.99,12.859588,0
48,2015-01-12,15.0,15.0,14.95,14.98,12.851012,0
49,2015-01-19,15.05,15.1,14.95,15.02,12.885325,0
50,2015-01-26,15.03,15.03,14.98,15.01,12.876746,0
51,2015-02-02,15.01,15.05,15.01,15.05,12.933432,0
52,2015-02-09,15.02,15.02,14.97,14.97,12.864685,0
53,2015-02-16,15.0,15.0,14.97,14.97,12.864685,0
54,2015-02-23,15.03,15.03,15.0,15.02,12.907655,0
55,2015-03-02,15.01,15.02,14.97,14.97,12.886979,0
56,2015-03-09,14.98,14.99,14.98,14.98,12.895588,0
57,2015-03-16,15.02,15.03,14.94,15.02,12.930021,800
58,2015-03-23,15.02,15.03,15.0,15.0,12.912803,400
59,2015-03-30,15.0,15.03,14.98,14.98,12.917977,0
60,2015-04-06,15.01,15.09,15.01,15.04,12.969719,300
61,2015-04-13,15.04,15.09,15.0,15.09,13.012837,100
62,2015-04-20,15.09,15.09,15.05,15.05,12.978342,7600
63,2015-04-27,15.09,15.09,15.03,15.03,12.961099,0
64,2015-05-04,15.02,15.02,14.99,14.99,12.948971,0
65,2015-05-11,15.01,15.01,14.95,14.96,12.923059,0
66,2015-05-18,15.01,15.01,14.97,15.0,12.957608,0
67,2015-05-25,14.97,15.04,14.95,14.99,12.948971,200
68,2015-06-01,14.99,15.01,14.91,14.93,12.919579,0
69,2015-06-08,14.89,14.92,14.89,14.91,12.902275,0
70,2015-06-15,14.91,14.93,14.9,14.9,12.893623,0
71,2015-06-22,14.98,14.98,14.93,14.96,12.945543,0
72,2015-06-29,14.9,14.93,14.9,14.93,12.942075,0
73,2015-07-06,14.88,14.97,14.88,14.96,12.96808,0
74,2015-07-13,14.93,14.95,14.93,14.94,12.950741,4700
75,2015-07-20,14.94,14.95,14.92,14.94,12.950741,15900
76,2015-07-27,14.94,14.94,14.89,14.91,12.924738,5800
77,2015-08-03,14.91,14.91,14.88,14.91,12.947272,1000
78,2015-08-10,14.88,14.94,14.88,14.92,12.955954,3200
79,2015-08-17,14.9,14.91,14.82,14.86,12.903849,3000
80,2015-08-24,14.86,14.92,14.83,14.91,12.947272,2800
81,2015-08-31,14.91,14.91,14.85,14.91,12.97001,200
82,2015-09-07,14.91,14.91,14.91,14.91,12.97001,23600
83,2015-09-14,14.89,14.89,14.84,14.84,12.909117,0
84,2015-09-21,14.91,14.92,14.91,14.92,12.978705,0
85,2015-09-28,14.87,14.97,14.87,14.92,13.001363,0
86,2015-10-05,14.98,14.98,14.93,14.94,13.01879,0
87,2015-10-12,14.93,14.96,14.93,14.96,13.036221,0
88,2015-10-19,14.96,14.98,14.95,14.98,13.053646,0
89,2015-10-26,14.98,14.98,14.94,14.94,13.01879,0
90,2015-11-02,14.87,14.91,14.87,14.87,12.980321,3900
91,2015-11-09,14.87,14.91,14.87,14.87,12.980321,200
92,2015-11-16,14.88,14.91,14.88,14.9,13.006509,10000
93,2015-11-23,14.9,14.9,14.9,14.9,13.006509,0
94,2015-11-30,14.9,14.9,14.86,14.9,13.030996,700
95,2015-12-07,14.9,14.9,14.87,14.87,13.004761,100
96,2015-12-14,14.83,14.85,14.8,14.8,12.943538,0
97,2015-12-21,14.85,14.85,14.82,14.82,12.961035,0
98,2015-12-28,14.76,14.77,14.76,14.77,12.960947,0
99,2016-01-04,14.79,14.86,14.76,14.82,13.004822,4900
100,2016-01-11,14.82,14.87,14.8,14.8,12.987266,0
101,2016-01-18,14.85,14.85,14.8,14.81,12.996046,4200
102,2016-01-25,14.81,14.84,14.79,14.84,13.022371,6300
103,2016-02-01,14.84,14.84,14.78,14.78,12.992531,0
104,2016-02-08,14.85,14.85,14.85,14.85,13.054061,0
105,2016-02-15,14.78,14.86,14.77,14.86,13.062856,1300
106,2016-02-22,14.86,14.86,14.8,14.85,13.054061,2700
107,2016-02-29,14.85,14.85,14.8,14.82,13.050526,0
108,2016-03-07,14.8,14.85,14.8,14.83,13.059333,237100
109,2016-03-14,14.83,14.87,14.82,14.82,13.050526,0
110,2016-03-21,14.89,14.89,14.89,14.89,13.112167,0
111,2016-03-28,14.9,14.93,14.9,14.93,13.147389,0
112,2016-04-04,14.94,14.95,14.94,14.95,13.165005,0
113,2016-04-11,14.97,15.02,14.96,15.02,13.226645,6600
114,2016-04-18,15.02,15.02,14.99,14.99,13.200227,4000
115,2016-04-25,14.99,15.01,14.95,14.95,13.165005,15200
116,2016-05-02,14.97,15.04,14.97,15.04,13.266398,9100
117,2016-05-09,15.03,15.05,14.99,15.0,13.231112,19300
118,2016-05-16,14.99,15.03,14.9,14.95,13.18701,9700
119,2016-05-23,14.92,14.92,14.87,14.87,13.116445,2100
120,2016-05-30,14.92,15.02,14.89,15.02,13.293222,3300
121,2016-06-06,15.02,15.06,14.96,15.06,13.328625,67100
122,2016-06-13,15.02,15.05,15.0,15.05,13.319775,21600
123,2016-06-20,15.05,15.08,15.02,15.08,13.346328,4400
124,2016-06-27,15.08,15.08,15.08,15.08,13.346328,0
125,2016-07-04,15.2,15.2,15.1,15.1,13.386217,3100
126,2016-07-11,15.1,15.14,15.02,15.02,13.315297,13100
127,2016-07-18,15.09,15.1,15.08,15.1,13.386217,2700
128,2016-07-25,15.1,15.12,15.01,15.12,13.403948,56900
129,2016-08-01,15.08,15.11,15.05,15.06,13.372898,5400
130,2016-08-08,15.06,15.15,15.05,15.12,13.426175,7300
131,2016-08-15,15.12,15.14,15.08,15.09,13.399539,3500
132,2016-08-22,15.14,15.14,15.09,15.09,13.399539,18800
133,2016-08-29,15.03,15.08,15.01,15.08,13.412882,36800
134,2016-09-05,15.09,15.1,15.05,15.05,13.386191,4500
135,2016-09-12,15.01,15.07,15.01,15.06,13.39509,8500
136,2016-09-19,15.06,15.08,15.05,15.08,13.412882,800
137,2016-09-26,15.05,15.06,14.99,15.05,13.386191,12000
138,2016-10-03,15.05,15.05,14.93,15.0,13.364811,9800
139,2016-10-10,15.0,15.02,14.95,15.01,13.373723,7800
140,2016-10-17,15.01,15.04,15.0,15.04,13.400452,7200
141,2016-10-24,15.04,15.04,14.93,14.93,13.302442,900
142,2016-10-31,14.99,15.01,14.92,15.01,13.396914,8300
143,2016-11-07,15.0,15.0,14.85,14.89,13.289809,2700
144,2016-11-14,14.89,14.89,14.81,14.85,13.254107,12100
145,2016-11-21,14.85,14.86,14.78,14.85,13.254107,17500
146,2016-11-28,14.84,14.84,14.73,14.8,13.232651,15100
147,2016-12-05,14.8,14.83,14.79,14.8,13.232651,16000
148,2016-12-12,14.77,14.83,14.71,14.78,13.214768,3200
149,2016-12-19,14.78,14.78,14.72,14.72,13.16112,11800
150,2016-12-26,14.72,14.81,14.72,14.81,13.264923,7300
151,2017-01-02,14.81,14.84,14.8,14.82,13.273878,8100
152,2017-01-09,14.83,14.83,14.77,14.79,13.247009,10200
153,2017-01-16,14.88,14.88,14.76,14.76,13.22014,3200
154,2017-01-23,14.76,14.87,14.76,14.78,13.238053,9000
155,2017-01-30,14.8,14.84,14.76,14.8,13.279329,12400
156,2017-02-06,14.81,14.86,14.81,14.81,13.288298,9000
157,2017-02-13,14.81,14.89,14.8,14.81,13.288298,44300
158,2017-02-20,14.81,14.87,14.81,14.87,13.342134,4600
159,2017-02-27,14.86,14.86,14.78,14.83,13.329632,3800
160,2017-03-06,14.75,14.83,14.73,14.73,13.239746,15700
