,Date,Open,High,Low,Close,Adj Close,Volume
0,2013-03-25,15.21,15.32,15.21,15.32,11.974004,2200
1,2013-04-01,15.47,15.47,15.26,15.27,11.934916,49200
2,2013-04-08,15.32,15.7,15.32,15.65,12.231922,4000
3,2013-04-15,15.5,15.5,15.25,15.28,11.942737,4700
4,2013-04-22,15.46,15.69,15.46,15.69,12.263191,1600
5,2013-04-29,15.84,15.98,15.79,15.98,12.522873,30900
6,2013-05-06,15.92,15.99,15.92,15.99,12.530707,10200
7,2013-05-13,15.99,15.99,15.99,15.99,12.530707,0
8,2013-05-20,16.200001,16.309999,15.88,15.88,12.444506,6200
9,2013-05-27,15.97,16.030001,15.6,15.6,12.225081,8000
10,2013-06-03,15.69,15.69,15.42,15.42,12.115122,4500
11,2013-06-10,15.81,15.81,15.5,15.5,12.177981,3000
12,2013-06-17,15.75,15.91,15.21,15.21,11.950132,3700
13,2013-06-24,15.1,15.62,15.1,15.55,12.217262,17600
14,2013-07-01,15.55,15.69,15.51,15.65,12.328318,1800
15,2013-07-08,15.77,16.09,15.77,16.09,12.67493,5800
16,2013-07-15,16.219999,16.309999,16.15,16.299999,12.840354,1286200
17,2013-07-22,16.280001,16.379999,16.01,16.120001,12.698554,17500
18,2013-07-29,16.17,16.41,16.139999,16.360001,12.919463,12600
19,2013-08-05,16.280001,16.34,16.07,16.280001,12.856286,6800
20,2013-08-12,16.219999,16.280001,15.74,15.82,12.493024,60800
21,2013-08-19,15.8,15.88,15.62,15.88,12.540406,29400
22,2013-08-26,16.01,16.01,15.55,15.55,12.279808,9900
23,2013-09-02,15.65,15.73,15.48,15.69,12.421731,20600
24,2013-09-09,15.74,15.98,15.72,15.95,12.627567,10200
25,2013-09-16,16.110001,16.469999,16.049999,16.190001,12.817578,15600
26,2013-09-23,16.139999,16.24,16.0,16.0,12.667157,7700
27,2013-09-30,15.95,16.1,15.88,15.95,12.658823,9200
28,2013-10-07,15.87,16.190001,15.77,16.190001,12.849307,5200
29,2013-10-14,16.209999,16.549999,16.15,16.549999,13.135025,7600
30,2013-10-21,16.68,16.790001,16.51,16.780001,13.317563,9700
31,2013-10-28,16.809999,16.870001,16.77,16.809999,13.341373,28900
32,2013-11-04,16.950001,16.950001,16.67,16.67,13.261875,7100
33,2013-11-11,16.73,16.91,16.719999,16.91,13.452808,2800
34,2013-11-18,16.870001,16.9,16.68,16.84,13.39712,37900
35,2013-11-25,16.790001,16.83,16.629999,16.65,13.245964,8700
36,2013-12-02,16.67,16.67,16.51,16.549999,13.197887,26000
37,2013-12-09,16.700001,16.719999,16.43,16.43,13.102191,7800
38,2013-12-16,16.49,16.879999,16.42,16.77,13.373332,12400
39,2013-12-23,16.85,19.459999,16.85,17.0,13.556743,112900
40,2013-12-30,16.99,17.030001,16.799999,16.799999,13.437123,15400
41,2014-01-06,17.82,17.82,16.639999,16.85,13.477117,17700
42,2014-01-13,16.700001,16.92,16.700001,16.77,13.413132,15300
43,2014-01-20,16.790001,16.870001,16.5,16.5,13.197174,126300
44,2014-01-27,16.5,16.5,16.34,16.450001,13.157179,17600
45,2014-02-03,16.450001,16.450001,16.01,16.42,13.165099,32100
46,2014-02-10,16.42,16.809999,16.379999,16.809999,13.477797,11500
47,2014-02-17,16.799999,16.99,16.799999,16.99,13.622116,10600
48,2014-02-24,16.91,17.25,16.91,16.959999,13.59806,35800
49,2014-03-03,16.969999,17.18,16.969999,17.15,13.782771,2900
50,2014-03-10,17.15,17.15,17.0,17.0,13.662218,15000
51,2014-03-17,17.0,17.32,17.0,17.299999,13.903316,4400
52,2014-03-24,17.299999,17.299999,17.200001,17.25,13.863137,3300
53,2014-03-31,17.33,17.559999,17.33,17.5,14.096796,8200
54,2014-04-07,17.530001,17.6,17.200001,17.200001,13.855141,3600
55,2014-04-14,17.200001,17.5,17.200001,17.450001,14.056517,4200
56,2014-04-21,17.379999,17.610001,17.379999,17.610001,14.185401,1600
57,2014-04-28,17.610001,17.809999,17.610001,17.809999,14.379172,4500
58,2014-05-05,17.690001,17.84,17.690001,17.75,14.330734,10100
59,2014-05-12,17.9,17.9,17.629999,17.67,14.266142,15200
60,2014-05-19,17.629999,17.82,17.6,17.809999,14.379172,8200
61,2014-05-26,17.809999,17.9,17.809999,17.879999,14.43569,600
62,2014-06-02,17.879999,18.24,17.879999,18.219999,14.743301,21200
63,2014-06-09,18.24,18.24,18.049999,18.049999,14.605746,66500
64,2014-06-16,18.049999,18.549999,18.049999,18.549999,15.010327,3300
65,2014-06-23,18.549999,18.549999,18.48,18.5,14.969878,1100
66,2014-06-30,18.5,18.620001,18.48,18.620001,15.09953,4900
67,2014-07-07,18.57,18.57,18.5,18.52,15.018447,900
68,2014-07-14,18.52,18.52,18.5,18.51,15.010331,4300
69,2014-07-21,18.469999,18.549999,18.469999,18.540001,15.034659,2700
70,2014-07-28,18.42,18.620001,18.049999,18.07,14.653527,8100
71,2014-08-04,18.139999,18.139999,17.870001,18.02,14.644579,7200
72,2014-08-11,18.129999,18.35,18.049999,18.35,14.912755,5400
73,2014-08-18,18.35,18.52,18.35,18.52,15.050923,1300
74,2014-08-25,18.52,18.59,18.52,18.59,15.107807,2100
75,2014-09-01,18.59,18.690001,18.59,18.65,15.189352,4000
76,2014-09-08,18.65,18.65,18.41,18.41,14.993877,1200
77,2014-09-15,18.469999,18.629999,18.42,18.610001,15.156775,4500
