,Date,Open,High,Low,Close,Adj Close,Volume
0,2017-02-13,25.27,25.27,25.27,25.27,20.318911,0
1,2017-02-20,25.43,25.450001,25.42,25.450001,20.463652,4800
2,2017-02-27,25.450001,25.450001,25.450001,25.450001,20.548428,0
3,2017-03-06,25.450001,25.450001,25.450001,25.450001,20.548428,0
4,2017-03-13,25.450001,25.790001,25.450001,25.639999,20.701832,28100
5,2017-03-20,25.85,25.85,25.85,25.85,20.871386,400
6,2017-03-27,25.940001,25.98,25.75,25.799999,20.831017,23100
7,2017-04-03,25.799999,26.23,25.799999,26.209999,21.247925,2500
8,2017-04-10,26.15,26.15,25.85,25.92,21.012833,7900
9,2017-04-17,25.98,26.43,25.98,26.43,21.426275,5700
10,2017-04-24,26.4,26.6,26.4,26.59,21.555986,1900
11,2017-05-01,26.360001,26.85,26.360001,26.719999,21.74774,6600
12,2017-05-08,26.719999,26.93,26.719999,26.9,21.894245,3400
13,2017-05-15,26.790001,26.790001,26.5,26.5,21.568676,5600
14,2017-05-22,26.5,26.610001,26.4,26.4,21.487291,1600
15,2017-05-29,26.24,26.530001,26.24,26.530001,21.67864,1700
16,2017-06-05,26.549999,26.57,26.4,26.41,21.580584,3200
17,2017-06-12,26.469999,26.469999,25.85,25.85,21.122984,2000
18,2017-06-19,25.85,26.08,25.85,26.08,21.310928,3100
19,2017-06-26,26.08,26.08,25.6,25.6,20.918703,2700
20,2017-07-03,25.379999,25.610001,25.370001,25.440001,20.871994,4900
21,2017-07-10,25.43,25.57,25.049999,25.049999,20.552021,9000
22,2017-07-17,25.0,25.129999,24.83,24.870001,20.404346,6900
23,2017-07-24,24.809999,24.85,24.549999,24.6,20.182816,8100
24,2017-07-31,24.6,24.809999,24.6,24.809999,20.441662,800
25,2017-08-07,25.08,25.27,24.85,24.860001,20.482861,2700
26,2017-08-14,25.030001,25.030001,24.75,24.75,20.392223,1400
27,2017-08-21,24.75,24.75,24.6,24.6,20.268629,2500
28,2017-08-28,24.59,24.709999,24.309999,24.309999,20.029701,2500
29,2017-09-04,24.5,24.5,23.83,23.83,19.718372,11400
30,2017-09-11,23.83,24.08,23.83,24.08,19.925238,500
31,2017-09-18,24.15,24.25,24.15,24.25,20.06591,1800
32,2017-09-25,24.35,24.799999,24.35,24.43,20.214851,12100
33,2017-10-02,24.43,24.700001,24.379999,24.469999,20.333086,8300
34,2017-10-09,24.559999,24.559999,24.41,24.41,20.28323,3000
35,2017-10-16,24.559999,24.76,24.370001,24.76,20.57406,7400
36,2017-10-23,25.08,25.58,24.82,25.18,20.923054,12600
37,2017-10-30,25.120001,25.24,24.879999,24.91,20.78269,36800
