,Date,Open,High,Low,Close,Adj Close,Volume
0,2014-11-10,20.23,20.23,20.01,20.01,18.786772,2100
1,2014-11-17,20.08,20.139999,20.040001,20.129999,18.899435,3600
2,2014-11-24,20.26,20.27,20.17,20.17,18.936996,2100
3,2014-12-01,20.57,20.629999,20.27,20.450001,19.199877,8100
4,2014-12-08,20.700001,20.700001,20.309999,20.309999,19.068428,0
5,2014-12-15,20.389999,20.51,20.35,20.459999,19.209261,0
6,2014-12-22,21.01,21.040001,21.01,21.040001,19.753805,500
7,2014-12-29,21.040001,21.09,20.969999,20.969999,19.725637,0
8,2015-01-05,20.889999,20.889999,20.6,20.83,19.593945,0
9,2015-01-12,21.280001,21.389999,20.950001,20.950001,19.706825,0
10,2015-01-19,21.0,21.93,21.0,21.93,20.628674,0
11,2015-01-26,22.41,22.440001,22.049999,22.209999,20.892061,0
12,2015-02-02,22.41,22.459999,22.040001,22.459999,21.127222,0
13,2015-02-09,22.5,22.950001,22.379999,22.950001,21.588144,0
14,2015-02-16,22.889999,22.889999,22.809999,22.870001,21.512892,0
15,2015-02-23,23.129999,23.379999,23.129999,23.25,21.870344,0
16,2015-03-02,23.299999,23.5,23.139999,23.139999,21.766872,0
17,2015-03-09,23.200001,23.27,23.110001,23.110001,21.738653,0
18,2015-03-16,23.15,23.700001,23.15,23.65,22.246611,400
19,2015-03-23,23.65,23.65,22.809999,22.809999,21.456455,200
20,2015-03-30,22.809999,23.43,22.809999,23.360001,22.030067,0
21,2015-04-06,22.870001,23.309999,22.84,23.309999,21.982912,200
22,2015-04-13,23.309999,23.42,22.860001,22.9,21.596252,0
23,2015-04-20,22.280001,22.73,22.280001,22.73,21.435932,0
24,2015-04-27,22.67,22.67,22.15,22.15,20.888948,0
25,2015-05-04,22.59,22.59,22.02,22.02,20.766354,0
26,2015-05-11,22.57,22.57,22.15,22.15,20.888948,0
27,2015-05-18,22.75,23.110001,22.75,22.860001,21.558531,0
28,2015-05-25,23.17,23.24,22.99,23.200001,21.879175,900
29,2015-06-01,23.200001,23.389999,23.110001,23.219999,21.898035,0
