,Date,Open,High,Low,Close,Adj Close,Volume
0,2010-02-01,14.45,15.12,14.45,15.01,9.054516,181100
1,2010-03-01,15.04,15.74,15.04,15.45,9.319939,500200
2,2010-04-01,15.38,15.52,15.05,15.17,9.222972,205500
3,2010-05-01,15.25,15.25,13.79,14.68,8.925067,332000
4,2010-06-01,14.54,14.88,14.33,14.43,8.77307,134900
5,2010-07-01,14.44,15.2,14.29,15.2,9.356009,204000
6,2010-08-01,15.23,15.24,14.86,15.18,9.343703,227200
7,2010-09-01,15.27,15.98,15.24,15.97,9.829965,267300
8,2010-10-01,15.98,16.24,15.87,16.059999,10.007279,252800
9,2010-11-01,16.139999,16.620001,15.98,16.42,10.231605,329300
10,2010-12-01,16.43,17.0,16.299999,16.52,10.293916,215900
11,2011-01-01,16.49,16.809999,16.41,16.52,10.441466,335200
12,2011-02-01,16.549999,16.639999,16.030001,16.15,10.248075,392400
13,2011-03-01,16.09,16.42,15.51,16.42,10.46151,339400
14,2011-04-01,16.459999,16.459999,15.66,15.98,10.221935,236500
15,2011-05-01,16.040001,16.51,15.94,16.42,10.548196,401800
16,2011-06-01,16.42,16.450001,15.87,16.08,10.372708,338300
17,2011-07-01,16.1,16.33,15.83,15.92,10.313275,459200
18,2011-08-01,16.01,16.040001,14.3,16.040001,10.435246,604800
19,2011-09-01,16.01,16.129999,15.34,15.93,10.410172,413700
20,2011-10-01,15.84,16.1,15.2,15.85,10.403614,453000
21,2011-11-01,15.72,15.97,15.44,15.84,10.442627,827600
22,2011-12-01,15.91,16.01,15.29,16.01,10.601832,793300
23,2012-01-01,16.030001,16.110001,15.68,15.74,10.46709,825000
24,2012-02-01,15.8,16.309999,15.8,16.24,10.847406,783000
25,2012-03-01,16.24,16.42,16.059999,16.17,10.850542,694900
26,2012-04-01,16.16,16.290001,15.85,16.26,10.961189,624800
27,2012-05-01,16.23,16.540001,15.73,15.9,10.768947,566300
28,2012-06-01,15.81,16.23,15.51,15.81,10.758046,763900
29,2012-07-01,15.96,16.48,15.93,16.1,11.004507,894700
30,2012-08-01,16.1,16.49,15.93,15.98,10.970095,873700
31,2012-09-01,15.96,16.190001,15.82,16.190001,11.16196,1050900
32,2012-10-01,16.219999,16.299999,15.89,16.15,11.181376,715200
33,2012-11-01,16.18,16.24,15.05,15.4,10.70715,869100
34,2012-12-01,15.45,15.85,15.36,15.82,11.04695,792400
35,2013-01-01,15.92,16.76,15.92,16.459999,11.538569,953900
36,2013-02-01,16.450001,16.540001,15.93,16.059999,11.30499,1124000
37,2013-03-01,15.9,16.1,15.01,15.29,10.809011,1589000
38,2013-04-01,15.28,15.69,14.98,15.69,11.139387,2044900
39,2013-05-01,15.68,15.94,15.25,15.26,10.880023,1893500
40,2013-06-01,15.26,15.31,13.79,14.25,10.202021,2655700
41,2013-07-01,14.44,14.87,13.98,14.48,10.411662,1857800
42,2013-08-01,14.47,14.47,13.5,13.62,9.833699,649900
43,2013-09-01,13.71,14.08,13.5,13.93,10.101762,451400
44,2013-10-01,13.92,14.93,13.83,14.68,10.691433,520500
45,2013-11-01,14.66,14.75,14.18,14.43,10.551768,369600
46,2013-12-01,14.36,14.41,13.94,14.41,10.580531,615300
47,2014-01-01,14.38,14.87,14.3,14.87,10.964458,430700
48,2014-02-01,14.88,15.34,14.6,14.97,11.083866,735400
49,2014-03-01,14.93,15.74,14.92,15.74,11.700161,416900
50,2014-04-01,15.71,15.93,15.64,15.79,11.780193,339500
51,2014-05-01,15.76,16.049999,15.31,15.37,11.507508,404000
52,2014-06-01,15.34,15.68,15.28,15.68,11.782036,215300
53,2014-07-01,15.63,15.7,15.27,15.32,11.55028,300100
54,2014-08-01,15.3,16.01,15.1,15.92,12.04286,327500
55,2014-09-01,15.94,16.08,15.02,15.33,11.634363,270800
56,2014-10-01,15.31,15.48,14.35,15.31,11.658729,374200
57,2014-11-01,15.34,16.01,14.99,15.68,11.981101,238600
58,2014-12-01,15.54,15.66,14.62,15.53,11.9052,285500
59,2015-01-01,15.5,16.23,15.23,16.02,12.322257,451000
60,2015-02-01,16.110001,16.459999,15.82,16.08,12.410671,400200
61,2015-03-01,16.049999,16.24,15.46,15.83,12.259465,312600
62,2015-04-01,15.76,16.360001,15.69,16.02,12.449517,245000
63,2015-05-01,15.94,15.96,15.34,15.62,12.179635,352500
64,2015-06-01,15.65,15.7,14.56,14.66,11.471474,469700
65,2015-07-01,14.6,15.25,14.1,14.72,11.562368,410700
66,2015-08-01,14.51,15.08,13.4,14.74,11.624773,252500
67,2015-09-01,14.54,14.8,13.92,14.65,11.602384,758600
68,2015-10-01,14.72,15.64,14.51,14.64,11.64328,406600
69,2015-11-01,14.71,14.9,14.11,14.36,11.465912,319800
70,2015-12-01,14.36,14.93,13.39,14.6,11.706835,453300
71,2016-01-01,14.49,15.21,13.29,15.13,12.18153,263900
72,2016-02-01,15.13,15.5,14.08,14.44,11.675607,794300
73,2016-03-01,14.49,15.59,14.49,15.48,12.567876,588700
74,2016-04-01,15.44,15.77,15.26,15.65,12.752101,253900
75,2016-05-01,15.67,16.4,15.65,16.129999,13.190238,332600
76,2016-06-01,16.059999,16.700001,15.84,16.629999,13.693144,287200
