,Date,Open,High,Low,Close,Adj Close,Volume
0,2018-01-08,21.26,21.440001,21.26,21.43,19.630041,2300
1,2018-01-15,21.459999,21.549999,21.459999,21.549999,19.73996,300
2,2018-01-22,21.549999,21.549999,21.26,21.26,19.474321,100
3,2018-01-29,21.26,21.26,21.26,21.26,19.474321,0
4,2018-02-05,20.040001,20.040001,19.49,19.49,17.852989,7900
5,2018-02-12,19.49,19.870001,19.49,19.870001,18.201073,600
6,2018-02-19,19.870001,20.299999,19.870001,20.25,18.549154,14600
7,2018-02-26,20.25,20.25,20.25,20.25,18.549154,0
8,2018-03-05,19.91,20.25,19.91,20.139999,18.448389,3700
9,2018-03-12,20.200001,20.49,20.200001,20.49,18.768995,8900
10,2018-03-19,20.49,20.49,20.49,20.49,18.768995,0
11,2018-03-26,20.49,20.49,20.49,20.49,18.768995,0
12,2018-04-02,19.860001,20.27,19.719999,20.02,18.446507,3900
13,2018-04-09,20.02,20.02,20.02,20.02,18.446507,0
14,2018-04-16,20.02,20.02,20.02,20.02,18.446507,0
15,2018-04-23,20.02,20.02,20.02,20.02,18.446507,0
16,2018-04-30,20.02,20.879999,20.02,20.879999,19.238909,100
17,2018-05-07,20.879999,21.0,20.879999,21.0,19.349476,300
18,2018-05-14,21.0,21.77,21.0,21.77,20.058962,500
19,2018-05-21,21.77,21.77,21.41,21.41,19.727253,100
20,2018-05-28,21.41,21.41,21.41,21.41,19.727253,0
21,2018-06-04,21.41,21.41,21.41,21.41,19.727253,0
22,2018-06-11,21.41,21.41,21.41,21.41,19.727253,0
23,2018-06-18,21.41,21.41,21.41,21.41,19.727253,0
24,2018-06-25,21.41,21.41,21.41,21.41,19.727253,0
25,2018-07-02,21.41,21.41,21.25,21.25,19.690191,2000
26,2018-07-09,21.25,21.620001,21.25,21.620001,20.033033,15700
27,2018-07-16,21.620001,21.620001,21.620001,21.620001,20.033033,0
28,2018-07-23,21.620001,21.67,21.620001,21.67,20.079363,200
