,Date,Open,High,Low,Close,Adj Close,Volume
0,2011-03-01,16.0,16.4,15.8,16.290001,8.950376,3719200
1,2011-04-01,16.360001,16.74,15.71,15.91,8.811235,2938500
2,2011-05-01,15.94,16.219999,15.68,15.83,8.836902,4476900
3,2011-06-01,15.82,15.82,14.96,15.32,8.619771,5427100
4,2011-07-01,15.41,15.49,14.44,14.49,8.22169,4688900
5,2011-08-01,14.57,14.57,13.43,14.4,8.23595,6393100
6,2011-09-01,14.48,14.48,13.16,13.85,7.989182,4596900
7,2011-10-01,13.69,14.32,13.03,14.07,8.187331,4436100
8,2011-11-01,13.87,13.95,12.78,13.58,7.959625,4291500
9,2011-12-01,13.62,13.88,13.3,13.88,8.199362,2979800
10,2012-01-01,14.03,14.59,13.94,14.06,8.366707,3913400
11,2012-02-01,14.15,14.44,14.04,14.35,8.59583,3123900
12,2012-03-01,14.36,14.83,14.18,14.64,8.821796,2371800
13,2012-04-01,14.61,14.7,14.19,14.4,8.727232,2258900
14,2012-05-01,14.4,14.4,13.19,13.54,8.254815,2430100
15,2012-06-01,13.39,13.78,13.01,13.59,8.33831,2267800
16,2012-07-01,13.69,13.92,13.43,13.71,8.467216,1913300
17,2012-08-01,13.7,14.05,13.55,13.91,8.647019,2200000
18,2012-09-01,13.93,14.19,13.77,14.09,8.814433,1779300
19,2012-10-01,14.14,14.35,14.05,14.29,8.991625,1816400
20,2012-11-01,14.34,14.44,13.83,14.43,9.127651,1682100
21,2012-12-01,14.44,14.74,14.35,14.59,9.275238,1231600
22,2013-01-01,14.77,15.07,14.62,14.92,9.530377,1543200
23,2013-02-01,14.94,15.14,14.84,15.08,9.677621,1776700
24,2013-03-01,15.05,15.12,14.54,14.73,9.497091,1839500
25,2013-04-01,14.73,14.8,12.01,14.63,9.477472,1949500
26,2013-05-01,14.63,14.89,14.38,14.57,9.484327,1875200
27,2013-06-01,14.58,14.61,13.89,14.33,9.37234,1788500
28,2013-07-01,14.3,15.0,14.15,14.8,9.728237,1566100
29,2013-08-01,14.87,15.2,14.65,15.15,10.005113,1428200
30,2013-09-01,15.16,15.47,15.14,15.39,10.211072,1363400
31,2013-10-01,15.38,16.110001,15.3,16.049999,10.697471,1391800
32,2013-11-01,16.040001,16.35,15.97,16.139999,10.804819,1114100
33,2013-12-01,16.08,16.16,15.53,16.049999,10.790828,1739300
34,2014-01-01,16.049999,16.200001,15.3,15.38,10.385835,2015000
35,2014-02-01,15.4,16.18,15.15,16.120001,10.933013,1498800
36,2014-03-01,16.0,16.41,15.94,16.35,11.136222,1397300
37,2014-04-01,16.35,16.67,16.299999,16.67,11.401454,1074100
38,2014-05-01,16.66,16.98,16.530001,16.790001,11.530876,1388700
39,2014-06-01,16.82,17.059999,16.77,17.02,11.735917,1114700
40,2014-07-01,17.030001,17.67,17.030001,17.549999,12.149995,1036200
41,2014-08-01,17.52,17.85,17.18,17.780001,12.357,1027700
42,2014-09-01,17.780001,18.09,17.15,17.299999,12.069504,1330400
43,2014-10-01,17.370001,17.51,16.200001,17.450001,12.221193,2444300
44,2014-11-01,17.469999,17.870001,17.309999,17.799999,12.515446,847100
45,2014-12-01,17.799999,17.809999,16.139999,17.09,12.06242,2373500
46,2015-01-01,17.09,17.190001,15.47,15.57,11.03333,2787400
47,2015-02-01,15.57,16.83,15.57,16.65,11.852148,2091500
48,2015-03-01,16.68,16.690001,15.88,16.200001,11.583606,2134500
49,2015-04-01,16.200001,17.08,16.08,16.940001,12.167293,1502000
50,2015-05-01,16.950001,17.030001,16.549999,16.6,11.974319,1687700
51,2015-06-01,16.610001,16.82,16.129999,16.15,11.700163,2264800
52,2015-07-01,16.15,16.4,15.44,16.1,11.715494,2823400
53,2015-08-01,16.08,16.209999,14.01,15.57,11.38313,3184400
54,2015-09-01,15.35,15.7,15.11,15.58,11.446255,2105000
55,2015-10-01,15.64,16.35,15.2,16.08,11.870492,2383500
56,2015-11-01,16.07,16.309999,15.72,16.129999,11.961303,2207900
57,2015-12-01,16.16,16.370001,15.25,15.52,11.561344,2836700
58,2016-01-01,15.32,15.46,13.96,15.2,11.37579,4646300
59,2016-02-01,15.18,15.21,13.91,14.76,11.102739,3987000
60,2016-03-01,14.89,16.09,14.78,15.92,12.034547,4218300
61,2016-04-01,15.85,16.549999,15.64,16.469999,12.512042,3384400
62,2016-05-01,16.469999,16.65,15.88,16.440001,12.548754,3592600
63,2016-06-01,16.33,16.9,15.89,16.15,12.445004,2957100
64,2016-07-01,16.139999,16.809999,16.02,16.620001,12.868611,1954000
65,2016-08-01,16.52,17.209999,16.360001,17.08,13.286763,2544100
66,2016-09-01,17.139999,17.25,16.860001,17.09,13.355467,2175100
67,2016-10-01,17.07,17.440001,16.860001,17.379999,13.644363,1905000
68,2016-11-01,17.389999,18.02,17.049999,17.9,14.115984,3436200
69,2016-12-01,17.959999,18.68,17.9,18.379999,14.557665,2214500
70,2017-01-01,18.4,19.040001,18.4,18.790001,14.94484,2295200
71,2017-02-01,18.85,19.559999,18.719999,19.02,15.190196,2679000
72,2017-03-01,19.139999,19.52,18.450001,18.82,15.090871,3486100
73,2017-04-01,18.889999,19.02,18.049999,18.209999,14.662337,2039600
74,2017-05-01,18.25,18.299999,17.52,17.85,14.432387,4131600
75,2017-06-01,17.9,18.360001,17.75,18.200001,14.779852,2283300
76,2017-07-01,18.280001,18.549999,18.110001,18.27,14.900485,1499500
77,2017-08-01,18.35,18.42,17.77,18.129999,14.849117,2276300
78,2017-09-01,18.23,18.84,17.9,18.780001,15.447766,1784100
79,2017-10-01,18.809999,19.34,18.780001,19.309999,15.950431,1459800
80,2017-11-01,19.35,19.5,19.1,19.34,16.039942,1476200
81,2017-12-01,19.280001,19.610001,19.200001,19.5,16.237892,1294000
82,2018-01-01,19.5,20.02,19.440001,19.709999,16.478603,1786600
83,2018-02-01,19.65,19.65,18.32,19.1,16.031738,2635000
84,2018-03-01,19.110001,19.5,18.59,18.82,15.86076,1296700
85,2018-04-01,18.83,18.85,18.209999,18.700001,15.825076,1924200
86,2018-05-01,18.700001,19.42,18.65,18.950001,16.104353,1696600
87,2018-06-01,18.92,19.4,18.790001,18.959999,16.178539,1583600
88,2018-07-01,19.049999,19.43,18.91,19.43,16.647396,1000600
89,2018-08-01,19.4,19.870001,19.290001,19.68,16.929665,1592700
90,2018-09-01,19.68,19.98,19.5,19.67,16.987984,1306100
91,2018-10-01,19.83,19.83,17.959999,18.299999,15.870247,3227000
92,2018-11-01,18.360001,18.540001,17.940001,18.35,15.985705,2942200
93,2018-12-01,18.440001,18.49,16.5,17.040001,14.911496,2500500
94,2019-01-01,17.02,18.440001,16.9,18.389999,16.172556,2588700
95,2019-02-01,18.379999,18.85,18.32,18.58,16.415565,1966400
96,2019-03-01,18.58,18.809999,17.99,18.0,15.9754,3334400
97,2019-04-01,18.02,18.950001,18.02,18.93,16.879368,2405400
98,2019-05-01,18.950001,18.99,17.709999,17.76,15.907882,3501700
99,2019-06-01,17.73,18.42,17.73,18.15,16.332951,2911800
100,2019-07-01,18.07,18.5,18.07,18.35,16.590195,2192500
101,2019-08-01,18.280001,18.35,17.209999,17.629999,16.013014,5278300
102,2019-09-01,17.559999,18.610001,17.42,18.540001,16.922651,1848500
103,2019-10-01,18.59,18.77,17.98,18.67,17.119713,1576700
104,2019-11-01,18.75,19.15,18.700001,18.99,17.492525,1491200
105,2019-12-01,19.0,19.01,18.389999,18.43,17.052773,1677500
106,2020-01-01,18.450001,18.940001,18.35,18.59,17.279789,1717500
107,2020-02-01,18.57,18.969999,17.16,17.889999,16.704325,2286900
108,2020-03-01,17.790001,17.799999,11.44,14.02,13.151403,8375900
109,2020-04-01,13.51,14.98,13.25,14.31,13.423435,5123800
110,2020-05-01,14.01,15.0,12.96,14.5,13.684392,4809300
111,2020-06-01,14.53,15.95,14.52,14.95,14.19199,3755500
112,2020-07-01,15.13,15.59,14.63,15.08,14.396221,2076800
113,2020-08-01,15.11,16.709999,15.11,16.4,15.74453,2307300
114,2020-09-01,16.35,16.51,15.51,15.64,15.092514,2194600
115,2020-10-01,15.7,16.27,15.21,15.57,15.106751,3040100
116,2020-11-01,15.59,17.709999,15.52,17.32,16.895809,3433600
117,2020-12-01,17.51,17.780001,17.450001,17.58,17.23229,2062100
118,2021-01-01,17.57,18.280001,17.459999,17.540001,17.275953,2028300
119,2021-02-01,17.59,19.049999,17.559999,18.67,18.476336,3459000
120,2021-03-01,18.870001,19.68,18.73,19.35,19.251577,2974700
121,2021-04-01,19.33,19.450001,19.33,19.450001,19.450001,75900
122,2021-04-01,19.33,19.455,19.33,19.450001,19.450001,75889
