,Date,Open,High,Low,Close,Adj Close,Volume
0,2014-02-10,15.07,15.17,15.06,15.17,9.957733,7000
1,2014-02-17,15.59,15.59,15.09,15.37,10.089014,45200
2,2014-02-24,15.35,15.38,15.25,15.3,10.043068,77800
3,2014-03-03,15.33,15.5,15.25,15.38,10.145213,68200
4,2014-03-10,15.36,15.39,15.2,15.33,10.11223,38300
5,2014-03-17,15.42,15.65,15.345,15.58,10.277141,47300
6,2014-03-24,15.65,15.65,15.28,15.38,10.145213,125300
7,2014-03-31,15.45,15.54,15.39,15.44,10.237429,99800
8,2014-04-07,15.5,15.51,15.29,15.3,10.144607,134500
9,2014-04-14,15.38,15.69,15.33,15.66,10.383302,35000
10,2014-04-21,16.0,16.0,15.56,15.59,10.336885,41900
11,2014-04-28,15.69,15.77,15.65,15.69,10.45661,47100
12,2014-05-05,15.69,15.69,15.48,15.57,10.376633,126800
13,2014-05-12,15.63,15.69,15.52,15.58,10.383301,45100
14,2014-05-19,15.68,15.7,15.54,15.62,10.409952,48100
15,2014-05-26,15.66,15.7,15.55,15.7,10.46327,45100
16,2014-06-02,15.87,15.91,15.72,15.89,10.644169,80800
17,2014-06-09,15.86,15.9,15.62,15.73,10.536989,88800
18,2014-06-16,15.85,15.96,15.78,15.89,10.644169,90700
19,2014-06-23,15.9,15.9,15.6,15.62,10.463305,84300
20,2014-06-30,15.73,15.77,15.6,15.76,10.610774,72100
21,2014-07-07,15.67,15.8,15.62,15.8,10.637706,50700
22,2014-07-14,15.9,15.94,15.8,15.87,10.684834,42800
23,2014-07-21,15.9,16.01,15.86,15.99,10.76563,192500
24,2014-07-28,15.98,16.09,15.64,15.71,10.57711,258300
25,2014-08-04,15.76,15.8,15.43,15.69,10.616764,180000
26,2014-08-11,15.8,15.83,15.65,15.79,10.684432,155900
27,2014-08-18,15.9,16.1,15.83,16.02,10.840064,171200
28,2014-08-25,16.129999,16.129999,15.845,15.96,10.799462,128800
29,2014-09-01,16.0,16.07,15.93,16.049999,10.914527,108900
30,2014-09-08,16.07,16.18,15.92,16.030001,10.900925,148300
31,2014-09-15,16.049999,16.1,15.95,16.030001,10.900925,122100
32,2014-09-22,16.02,16.139999,15.9,16.08,10.934929,103900
33,2014-09-29,16.07,16.225,15.87,16.225,11.088665,166400
34,2014-10-06,16.26,16.26,15.84,15.88,10.852885,197100
35,2014-10-13,15.79,15.88,15.47,15.85,10.832379,201200
36,2014-10-20,15.85,16.219999,15.83,16.219999,11.085246,128000
37,2014-10-27,16.219999,16.51,16.0,16.469999,11.256108,188000
38,2014-11-03,16.549999,16.75,16.48,16.629999,11.421792,288900
39,2014-11-10,16.68,16.780001,16.540001,16.559999,11.373713,156500
40,2014-11-17,16.6,16.76,16.6,16.67,11.449263,136100
41,2014-11-24,16.639999,16.950001,16.5,16.950001,11.641573,168900
42,2014-12-01,16.77,16.950001,16.59,16.754999,11.563131,262800
43,2014-12-08,16.76,16.780001,16.440001,16.440001,11.345745,227700
44,2014-12-15,16.549999,16.99,16.32,16.959999,11.704614,175600
45,2014-12-22,16.950001,17.129999,16.950001,17.030001,11.752924,87100
46,2014-12-29,17.01,17.129999,16.85,17.110001,11.863667,139600
47,2015-01-05,17.129999,17.389999,16.879999,17.34,12.023143,265100
48,2015-01-12,17.41,17.530001,17.16,17.469999,12.113283,173700
49,2015-01-19,17.389999,18.5,17.389999,18.309999,12.695716,346200
50,2015-01-26,18.299999,18.370001,17.91,18.309999,12.695716,300000
51,2015-02-02,18.18,18.4,17.889999,18.299999,12.747867,269100
52,2015-02-09,18.18,18.6,18.08,18.4,12.817528,296600
53,2015-02-16,18.34,18.549999,18.26,18.530001,12.908087,135000
54,2015-02-23,18.58,18.6,18.27,18.370001,12.796627,187000
55,2015-03-02,18.360001,18.4,18.040001,18.049999,12.6315,178000
56,2015-03-09,18.129999,18.139999,17.870001,18.139999,12.694484,221300
57,2015-03-16,18.190001,18.389999,18.15,18.33,12.82745,140100
58,2015-03-23,18.290001,18.379999,17.780001,18.059999,12.638503,172800
59,2015-03-30,18.17,18.389999,18.049999,18.139999,12.754581,76900
60,2015-04-06,18.09,18.43,18.040001,18.41,12.944423,143600
61,2015-04-13,18.49,18.49,17.74,17.85,12.550683,199300
62,2015-04-20,17.98,18.110001,17.889999,17.99,12.64912,103600
63,2015-04-27,17.870001,17.870001,17.5,17.84,12.543649,374700
64,2015-05-04,17.82,17.82,17.219999,17.68,12.490162,863200
65,2015-05-11,17.700001,17.700001,17.389999,17.690001,12.497223,90700
66,2015-05-18,17.690001,18.120001,17.690001,18.110001,12.793938,119200
67,2015-05-25,17.99,18.299999,17.9,18.17,12.836329,122400
68,2015-06-01,18.27,18.35,17.809999,17.82,12.6485,157300
69,2015-06-08,17.85,17.85,17.549999,17.655001,12.531384,157900
70,2015-06-15,17.549999,17.870001,17.549999,17.780001,12.620108,121300
71,2015-06-22,17.93,18.1,17.700001,17.75,12.598815,142200
72,2015-06-29,17.610001,18.0,17.6,17.99,12.8298,103900
73,2015-07-06,17.99,18.34,17.950001,18.280001,13.036615,162100
74,2015-07-13,18.459999,18.940001,18.41,18.889999,13.471642,486100
75,2015-07-20,18.889999,18.98,18.59,18.6,13.264828,84200
76,2015-07-27,18.540001,18.9,18.42,18.9,13.478782,76000
77,2015-08-03,18.83,19.049999,18.67,18.77,13.447618,91700
78,2015-08-10,18.9,19.02,18.530001,19.02,13.62673,85500
79,2015-08-17,19.01,19.08,18.43,18.43,13.204028,182500
80,2015-08-24,17.59,18.389999,15.25,18.24,13.067904,337700
81,2015-08-31,18.25,18.26,17.639999,17.870001,12.864676,105000
82,2015-09-07,17.91,18.23,17.83,17.91,12.89347,100100
83,2015-09-14,17.969999,18.370001,17.889999,18.129999,13.051847,55900
84,2015-09-21,18.27,18.309999,18.049999,18.139999,13.059046,78500
85,2015-09-28,18.09,18.16,17.84,18.1,13.09645,80300
86,2015-10-05,18.280001,18.610001,18.280001,18.41,13.320751,79200
87,2015-10-12,18.41,18.5,18.190001,18.5,13.385877,99400
88,2015-10-19,18.5,19.209999,18.469999,19.07,13.798307,138200
89,2015-10-26,19.030001,19.08,18.85,18.860001,13.646358,114000
90,2015-11-02,18.84,19.110001,18.84,18.98,13.800076,103200
91,2015-11-09,19.0,19.0,18.639999,18.639999,13.552873,104600
92,2015-11-16,18.639999,19.26,18.639999,19.190001,13.952762,103700
93,2015-11-23,19.24,19.299999,19.0,19.200001,13.960033,109100
94,2015-11-30,19.15,19.299999,18.75,19.1,13.95426,194600
95,2015-12-07,19.129999,19.4,19.09,19.15,13.990787,139800
96,2015-12-14,19.15,19.969999,19.1,19.5,14.246494,208200
97,2015-12-21,19.66,19.950001,19.540001,19.83,14.487596,71900
98,2015-12-28,19.93,20.0,19.700001,19.719999,14.474044,86500
99,2016-01-04,19.51,19.959999,19.4,19.43,14.261184,127300
100,2016-01-11,19.450001,19.959999,19.41,19.74,14.488714,194200
101,2016-01-18,19.799999,19.93,19.209999,19.52,14.327246,300900
102,2016-01-25,19.530001,19.6,19.18,19.6,14.385955,158000
103,2016-02-01,19.540001,19.6,18.950001,19.15,14.124804,199700
104,2016-02-08,19.1,19.17,18.700001,18.85,13.903525,190400
105,2016-02-15,18.77,19.24,18.77,19.1,14.08792,82000
106,2016-02-22,19.24,19.26,18.879999,18.879999,13.925653,77900
107,2016-02-29,18.889999,19.16,18.82,19.0,14.083924,277500
108,2016-03-07,19.02,19.25,18.969999,19.25,14.269238,223000
109,2016-03-14,19.26,19.4,18.959999,19.129999,14.180285,202300
110,2016-03-21,19.17,19.35,19.08,19.32,14.321126,111500
111,2016-03-28,19.15,19.26,18.91,19.120001,14.172875,93000
112,2016-04-04,19.15,19.360001,19.049999,19.059999,14.128399,222700
113,2016-04-11,19.02,19.08,18.809999,18.940001,14.039452,211900
114,2016-04-18,18.940001,19.08,18.57,18.66,13.831893,364900
115,2016-04-25,18.690001,18.690001,18.280001,18.4,13.63917,116700
116,2016-05-02,18.4,19.030001,18.4,18.99,14.148504,101500
117,2016-05-09,19.030001,19.219999,18.950001,19.030001,14.178308,114300
118,2016-05-16,19.030001,19.200001,18.9,19.15,14.267715,168800
119,2016-05-23,19.08,19.4,19.08,19.280001,14.36457,135700
120,2016-05-30,19.309999,19.43,19.190001,19.280001,14.507668,92900
121,2016-06-06,19.290001,19.290001,18.9,19.049999,14.334599,134500
122,2016-06-13,19.040001,19.33,19.02,19.190001,14.439942,78100
123,2016-06-20,19.24,19.379999,18.709999,19.25,14.485098,169500
124,2016-06-27,19.129999,19.57,19.01,19.5,14.673211,117800
125,2016-07-04,19.51,19.85,19.5,19.809999,14.980406,103000
126,2016-07-11,19.889999,20.07,19.76,19.889999,15.04091,146500
127,2016-07-18,19.98,20.33,19.9,20.290001,15.343389,211300
128,2016-07-25,20.370001,20.379999,19.860001,19.940001,15.078721,121400
129,2016-08-01,19.940001,20.1,19.68,20.030001,15.217853,104900
130,2016-08-08,20.139999,20.139999,19.75,19.780001,15.027912,115500
131,2016-08-15,19.809999,19.809999,19.35,19.48,14.799992,187400
132,2016-08-22,19.549999,19.65,19.440001,19.49,14.80759,151400
133,2016-08-29,19.559999,19.719999,19.559999,19.65,15.001932,83400
134,2016-09-05,19.639999,19.700001,19.385,19.389999,14.803434,131200
135,2016-09-12,19.360001,19.73,19.360001,19.73,15.063006,182100
136,2016-09-19,19.719999,19.950001,19.66,19.92,15.20807,136600
137,2016-09-26,19.879999,19.889999,19.52,19.57,14.940861,107800
138,2016-10-03,19.5,19.6,19.379999,19.58,15.020378,163600
139,2016-10-10,19.549999,19.549999,19.290001,19.290001,14.797915,84600
140,2016-10-17,19.280001,19.59,19.15,19.559999,15.005033,136700
141,2016-10-24,19.67,19.74,19.59,19.610001,15.043388,88700
142,2016-10-31,19.58,19.75,19.280001,19.309999,14.884921,243900
143,2016-11-07,19.5,20.07,19.4,20.02,15.432224,296100
144,2016-11-14,20.049999,20.129999,19.92,20.065001,15.466906,186900
145,2016-11-21,20.059999,20.35,19.940001,20.299999,15.648054,133900
146,2016-11-28,20.09,20.23,19.75,19.790001,15.326484,249000
147,2016-12-05,19.85,20.110001,19.809999,20.110001,15.574302,199300
148,2016-12-12,20.09,20.59,20.07,20.51,15.884084,166700
149,2016-12-19,20.540001,20.9,20.540001,20.73,16.054464,190200
150,2016-12-26,20.9,20.9,20.469999,20.469999,15.925874,120700
151,2017-01-02,20.6,20.629999,20.200001,20.290001,15.785831,176900
152,2017-01-09,20.299999,20.309999,19.889999,20.01,15.567996,317200
153,2017-01-16,20.09,20.4,19.860001,20.299999,15.793613,226100
154,2017-01-23,20.33,20.33,19.9,19.98,15.544655,339600
155,2017-01-30,19.99,19.99,19.57,19.780001,15.462499,285200
156,2017-02-06,19.799999,20.059999,19.780001,19.98,15.618841,239000
157,2017-02-13,20.040001,20.200001,19.959999,20.200001,15.790825,203900
158,2017-02-20,20.23,20.459999,20.200001,20.35,15.908081,188400
159,2017-02-27,20.360001,20.889999,20.309999,20.780001,16.320377,220800
160,2017-03-06,20.700001,20.84,20.700001,20.790001,16.328238,188100
161,2017-03-13,20.76,20.809999,20.6,20.709999,16.265398,156100
162,2017-03-20,20.709999,20.74,20.530001,20.620001,16.194714,146500
163,2017-03-27,20.459999,20.610001,20.440001,20.51,16.108322,141900
164,2017-04-03,20.549999,20.799999,20.5,20.610001,16.261816,127800
165,2017-04-10,20.59,20.6,20.27,20.34,16.048777,186300
166,2017-04-17,20.34,20.74,20.32,20.690001,16.324942,85600
167,2017-04-24,20.799999,21.07,20.74,20.93,16.514305,201800
168,2017-05-01,20.98,21.139999,20.889999,21.07,16.700865,110800
169,2017-05-08,21.08,21.17,20.98,21.02,16.66123,84200
170,2017-05-15,20.98,21.059999,20.6,20.700001,16.407591,230600
171,2017-05-22,20.74,20.84,20.629999,20.67,16.383808,94300
172,2017-05-29,20.67,20.959999,20.639999,20.93,16.66597,129800
173,2017-06-05,20.959999,20.959999,20.75,20.9,16.642092,119800
174,2017-06-12,20.92,20.98,20.57,20.690001,16.474874,131000
175,2017-06-19,20.77,20.799999,20.530001,20.58,16.38728,84700
176,2017-06-26,20.6,20.629999,19.9,19.959999,15.893592,168900
177,2017-07-03,19.93,20.07,19.67,19.74,15.79124,105200
178,2017-07-10,19.74,19.879999,19.530001,19.559999,15.647241,113000
179,2017-07-17,19.540001,19.65,19.35,19.42,15.535246,147700
180,2017-07-24,19.4,19.48,19.190001,19.25,15.399251,213800
181,2017-07-31,19.309999,19.66,19.309999,19.65,15.796557,142200
182,2017-08-07,19.5,19.719999,19.49,19.52,15.692043,124600
183,2017-08-14,19.639999,19.790001,19.25,19.280001,15.499109,182400
184,2017-08-21,19.299999,19.450001,19.23,19.379999,15.579501,117100
185,2017-08-28,19.309999,19.549999,19.25,19.299999,15.515185,83800
186,2017-09-04,19.280001,19.309999,18.77,18.879999,15.252317,176100
187,2017-09-11,18.879999,19.290001,18.879999,19.27,15.567387,152800
188,2017-09-18,19.370001,19.68,19.360001,19.610001,15.842051,116000
189,2017-09-25,19.620001,19.83,19.48,19.780001,15.979389,315800
190,2017-10-02,19.799999,20.08,19.790001,19.969999,16.207151,141300
191,2017-10-09,20.0,20.049999,19.940001,19.959999,16.199041,119500
192,2017-10-16,20.030001,20.309999,19.959999,20.299999,16.474972,179700
193,2017-10-23,20.35,20.540001,20.27,20.389999,16.548012,196200
194,2017-10-30,20.379999,20.459999,20.25,20.379999,16.612764,128000
195,2017-11-06,20.34,20.4,20.110001,20.18,16.44973,147900
196,2017-11-13,20.17,20.41,20.15,20.309999,16.555698,100000
197,2017-11-20,20.32,20.440001,20.299999,20.389999,16.620911,95600
198,2017-11-27,20.309999,21.030001,20.309999,20.620001,16.808393,265700
199,2017-12-04,20.83,20.92,20.52,20.92,17.128357,200300
200,2017-12-11,20.950001,21.15,20.76,21.08,17.259359,193300
201,2017-12-18,21.15,21.24,20.809999,20.82,17.046486,210600
202,2017-12-25,20.690001,20.690001,20.469999,20.52,16.800858,80700
203,2018-01-01,20.51,20.629999,20.389999,20.49,16.849131,144300
204,2018-01-08,20.49,20.77,20.469999,20.690001,17.01359,240200
205,2018-01-15,20.65,20.940001,20.549999,20.92,17.202721,226100
206,2018-01-22,20.92,21.0,20.67,20.950001,17.227394,210000
207,2018-01-29,20.870001,20.870001,20.139999,20.200001,16.610657,256600
208,2018-02-05,20.09,20.26,19.1,19.540001,16.137262,414900
209,2018-02-12,19.75,20.200001,19.549999,20.120001,16.616255,188500
210,2018-02-19,20.139999,20.280001,20.01,20.280001,16.748394,181700
211,2018-02-26,20.35,20.620001,19.950001,20.23,16.7071,207700
212,2018-03-05,20.200001,20.559999,20.200001,20.41,16.930895,137600
213,2018-03-12,20.48,20.75,20.35,20.74,17.204641,138400
214,2018-03-19,20.639999,20.639999,19.32,19.34,16.043287,332600
215,2018-03-26,19.6,19.780001,19.450001,19.73,16.366808,101600
216,2018-04-02,19.73,19.780001,19.27,19.450001,16.208391,99500
217,2018-04-09,19.549999,19.709999,19.450001,19.629999,16.358393,48700
218,2018-04-16,19.700001,20.030001,19.67,19.780001,16.483398,81700
219,2018-04-23,19.870001,20.08,19.75,20.08,16.733395,130600
220,2018-04-30,20.139999,20.139999,19.540001,19.93,16.683962,111800
221,2018-05-07,19.950001,20.184999,19.9,20.17,16.884876,100900
222,2018-05-14,20.190001,20.389999,20.110001,20.27,16.96859,171900
223,2018-05-21,20.280001,20.48,20.24,20.43,17.10253,84400
224,2018-05-28,20.440001,20.5,20.129999,20.389999,17.069046,123500
225,2018-06-04,20.450001,20.74,20.360001,20.66,17.371559,171400
226,2018-06-11,20.77,20.889999,20.620001,20.879999,17.556543,154700
227,2018-06-18,20.74,20.940001,20.73,20.780001,17.472466,116700
228,2018-06-25,20.66,20.719999,20.24,20.24,17.018404,110300
229,2018-07-02,20.4,20.450001,20.24,20.41,17.236437,56100
230,2018-07-09,20.459999,20.74,20.459999,20.65,17.439119,113800
231,2018-07-16,20.67,20.82,20.49,20.51,17.320889,297700
232,2018-07-23,20.57,20.809999,20.52,20.610001,17.405338,204900
233,2018-07-30,20.559999,20.709999,20.48,20.67,17.531981,81600
234,2018-08-06,20.799999,20.959999,20.74,20.84,17.676174,80200
235,2018-08-13,20.809999,21.17,20.719999,21.08,17.87973,57900
236,2018-08-20,21.07,21.16,20.969999,21.08,17.87973,72300
237,2018-08-27,21.1,21.17,20.93,21.08,17.87973,107200
238,2018-09-03,21.15,21.4,21.15,21.219999,18.075691,116800
239,2018-09-10,21.200001,21.309999,20.940001,21.129999,17.999027,99000
