,Date,Open,High,Low,Close,Adj Close,Volume
0,2019-02-11,30.280001,30.48,30.280001,30.43,25.942905,12900
1,2019-02-18,30.57,30.719999,30.25,30.469999,25.977013,17900
2,2019-02-25,30.780001,30.879999,30.219999,30.73,26.198671,12900
3,2019-03-04,30.9,30.9,29.98,29.98,25.667671,8600
4,2019-03-11,29.98,30.790001,29.98,30.719999,26.301228,4500
5,2019-03-18,31.129999,31.129999,27.93,28.1,24.05809,63900
6,2019-03-25,28.129999,28.75,27.92,28.52,24.417681,29200
7,2019-04-01,28.879999,29.99,28.879999,29.950001,25.774092,55100
8,2019-04-08,29.950001,30.58,29.450001,30.450001,26.204376,29200
9,2019-04-15,30.18,30.700001,30.17,30.629999,26.359278,12800
10,2019-04-22,30.549999,31.27,30.450001,31.02,26.694902,19700
11,2019-04-29,31.309999,31.58,31.17,31.5,27.234259,9200
12,2019-05-06,31.18,31.27,30.299999,30.610001,26.464787,9500
13,2019-05-13,30.5,30.5,29.440001,29.860001,25.816351,22600
14,2019-05-20,30.049999,30.139999,29.6,29.860001,25.816351,15800
15,2019-05-27,30.040001,30.040001,28.799999,28.799999,24.899897,19800
16,2019-06-03,28.48,29.75,28.48,29.370001,25.525654,5300
17,2019-06-10,29.4,30.18,29.4,30.18,26.229624,2500
18,2019-06-17,30.190001,30.24,29.110001,29.76,25.864603,10900
19,2019-06-24,29.57,29.860001,29.1,29.73,25.838528,11400
20,2019-07-01,29.379999,30.309999,29.379999,30.200001,26.386459,8400
21,2019-07-08,30.09,30.299999,30.0,30.17,26.360239,5000
22,2019-07-15,30.5,30.5,29.75,30.059999,26.264132,5800
23,2019-07-22,29.99,31.17,29.950001,31.17,27.233969,33800
24,2019-07-29,31.15,31.15,29.469999,29.66,25.914642,19500
25,2019-08-05,29.0,29.0,28.110001,28.74,25.236309,30500
26,2019-08-12,28.469999,28.58,27.299999,27.93,24.525061,14900
27,2019-08-19,28.309999,28.4,27.299999,27.299999,23.971867,13500
28,2019-08-26,27.549999,28.549999,27.32,28.5,25.025572,18100
29,2019-09-02,28.02,28.9,27.93,28.66,25.30887,9800
30,2019-09-09,29.049999,30.65,29.049999,30.610001,27.030863,66600
31,2019-09-16,30.379999,30.700001,30.309999,30.41,26.854252,26400
32,2019-09-23,30.25,30.43,29.92,30.17,26.642307,7800
33,2019-09-30,30.33,30.33,28.67,29.389999,26.086918,31900
34,2019-10-07,29.57,29.83,28.799999,29.83,26.477468,10500
35,2019-10-14,29.809999,30.280001,29.73,30.01,26.637238,7900
36,2019-10-21,30.200001,30.780001,30.200001,30.77,27.311823,6700
37,2019-10-28,30.059999,31.129999,30.059999,31.120001,27.622486,13300
38,2019-11-04,31.58,32.169998,31.379999,32.09,28.626837,29800
39,2019-11-11,32.259998,32.259998,31.719999,31.9,28.457342,22100
40,2019-11-18,31.790001,32.34,31.790001,32.299999,28.814171,11200
41,2019-11-25,32.5,32.549999,32.290001,32.349998,28.858772,4600
42,2019-12-02,32.529999,32.610001,31.49,32.610001,29.231031,32700
43,2019-12-09,32.509998,32.889999,32.240002,32.84,29.437202,4800
44,2019-12-16,33.18,33.18,32.73,32.959999,29.544765,22600
45,2019-12-23,32.98,32.98,32.66,32.66,29.275856,5100
46,2019-12-30,32.560001,32.560001,32.290001,32.459999,29.238728,2000
47,2020-01-06,31.940001,32.240002,31.690001,31.959999,28.788347,16700
48,2020-01-13,31.780001,32.0,31.280001,31.74,28.590179,12400
49,2020-01-20,31.799999,31.799999,30.950001,30.950001,27.878578,19300
50,2020-01-27,30.35,30.99,30.18,30.35,27.338121,11800
51,2020-02-03,30.950001,32.029999,30.879999,31.66,28.684784,14300
52,2020-02-10,31.59,32.0,31.459999,31.77,28.784449,13100
53,2020-02-17,31.709999,31.889999,31.139999,31.389999,28.440151,11800
54,2020-02-24,30.9,30.9,26.0,26.27,23.801302,86900
55,2020-03-02,26.450001,27.77,23.91,24.0,21.864927,66800
56,2020-03-09,20.4,22.700001,18.99,21.24,19.35046,44200
57,2020-03-16,18.440001,19.42,17.75,18.129999,16.517126,85400
58,2020-03-23,17.799999,20.959999,17.0,19.76,18.002127,137200
59,2020-03-30,19.75,20.299999,17.51,17.610001,16.04339,23300
60,2020-04-06,18.77,22.049999,18.77,22.049999,20.0884,67000
61,2020-04-13,21.4,21.99,18.84,20.6,18.767399,63200
62,2020-04-20,20.33,20.77,19.76,20.75,18.904051,34300
63,2020-04-27,20.82,22.58,20.75,21.0,19.131813,41400
64,2020-05-04,20.629999,21.32,20.15,21.17,19.448156,55400
65,2020-05-11,20.91,20.91,18.26,19.379999,17.803743,67100
66,2020-05-18,19.610001,20.75,19.610001,20.5,18.832653,17800
67,2020-05-25,20.9,22.49,20.469999,21.559999,19.806435,28300
68,2020-06-01,21.559999,23.799999,21.559999,23.4,21.677004,49300
69,2020-06-08,23.950001,23.950001,21.360001,21.959999,20.343037,38600
70,2020-06-15,21.65,23.48,21.65,22.42,20.769165,15600
71,2020-06-22,22.139999,22.389999,20.559999,20.639999,19.120228,32400
72,2020-06-29,20.99,21.309999,20.559999,20.57,19.211647,20200
73,2020-07-06,21.16,21.16,19.51,20.610001,19.249008,71000
74,2020-07-13,21.07,21.48,20.389999,20.75,19.379759,34100
75,2020-07-20,20.67,21.24,20.459999,21.08,19.687971,28800
76,2020-07-27,20.809999,21.0,20.32,20.52,19.164951,31400
77,2020-08-03,20.5,21.35,20.459999,21.34,20.105547,30800
