,Date,Open,High,Low,Close,Adj Close,Volume
0,2012-01-23,15.51,15.51,15.22,15.23,8.26678,172400
1,2012-01-30,15.23,15.5,15.22,15.39,8.402831,397700
2,2012-02-06,15.49,15.56,15.38,15.44,8.430126,336800
3,2012-02-13,15.51,15.54,15.41,15.5,8.462894,203900
4,2012-02-20,15.53,15.56,15.45,15.5,8.462894,166200
5,2012-02-27,15.55,15.58,15.47,15.51,8.514985,194700
6,2012-03-05,15.5,15.55,15.36,15.55,8.536945,166300
7,2012-03-12,15.6,15.72,15.51,15.55,8.536945,296300
8,2012-03-19,15.54,15.55,15.41,15.54,8.531453,193100
9,2012-03-26,15.58,15.63,15.4,15.47,8.493021,171000
10,2012-04-02,15.49,15.51,15.42,15.45,8.528425,93200
11,2012-04-09,15.47,15.52,15.28,15.39,8.495308,179700
12,2012-04-16,15.38,15.42,15.3,15.42,8.511864,146700
13,2012-04-23,15.37,15.45,15.24,15.45,8.528425,130000
14,2012-04-30,15.43,15.53,15.27,15.34,8.514823,148100
15,2012-05-07,15.27,15.45,15.2,15.43,8.564782,167300
16,2012-05-14,15.38,15.38,15.16,15.19,8.431561,159300
17,2012-05-21,15.16,15.28,15.11,15.16,8.414916,106900
18,2012-05-28,15.11,15.11,14.6,14.65,8.131824,250600
19,2012-06-04,14.54,15.1,14.5,14.9,8.317228,130400
20,2012-06-11,15.0,15.0,14.8,14.82,8.272571,82000
21,2012-06-18,14.78,14.97,14.75,14.87,8.300483,227200
22,2012-06-25,14.82,14.82,14.58,14.75,8.2335,231500
23,2012-07-02,14.9,14.99,14.86,14.95,8.396509,188000
24,2012-07-09,15.0,15.02,14.92,15.02,8.435822,97100
25,2012-07-16,14.98,15.22,14.98,15.17,8.520072,155600
26,2012-07-23,15.12,15.12,14.93,15.04,8.447057,330300
27,2012-07-30,15.07,15.07,14.91,14.91,8.424693,247600
28,2012-08-06,14.92,15.15,14.92,15.15,8.560301,198000
29,2012-08-13,15.15,15.32,15.13,15.29,8.639405,185600
