Symbol,Security Name,Market Category,Test Issue,Financial Status,Round Lot Size,ETF
AACG,"ATA Creativity Global - American Depositary Shares, each representing two common shares",G,N,N,100,N
AACQ,Artius Acquisition Inc. - Class A Common Stock,S,N,N,100,N
AACQU,Artius Acquisition Inc. - Unit consisting of one ordinary share and one third redeemable warrant,S,N,N,100,N
AACQW,Artius Acquisition Inc. - Warrant,S,N,N,100,N
AAL,"American Airlines Group, Inc. - Common Stock",Q,N,N,100,N
AAME,Atlantic American Corporation - Common Stock,G,N,N,100,N
AAOI,"Applied Optoelectronics, Inc. - Common Stock",G,N,N,100,N
AAON,"AAON, Inc. - Common Stock",Q,N,N,100,N
AAPL,Apple Inc. - Common Stock,Q,N,N,100,N
AAWW,Atlas Air Worldwide Holdings - Common Stock,Q,N,N,100,N
AAXJ,iShares MSCI All Country Asia ex Japan Index Fund,G,N,N,100,Y
ABCB,Ameris Bancorp - Common Stock,Q,N,N,100,N
ABCL,AbCellera Biologics Inc. - Common Shares,Q,N,N,100,N
ABCM,Abcam plc - American Depositary Shares,Q,N,N,100,N
ABEO,Abeona Therapeutics Inc. - Common Stock,S,N,N,100,N
ABGI,ABG Acquisition Corp. I - Class A Ordinary Shares,S,N,N,100,N
ABIO,"ARCA biopharma, Inc. - Common Stock",S,N,N,100,N
ABMD,"ABIOMED, Inc. - Common Stock",Q,N,N,100,N
ABNB,"Airbnb, Inc. - Class A Common Stock",Q,N,N,100,N
ABST,Absolute Software Corporation - Common Stock,Q,N,N,100,N
ABTX,"Allegiance Bancshares, Inc. - Common Stock",G,N,N,100,N
ABUS,Arbutus Biopharma Corporation - Common Stock,Q,N,N,100,N
ACAC,Acies Acquisition Corp. - Class A Ordinary Share,S,N,N,100,N
ACACU,Acies Acquisition Corp. - Unit,S,N,N,100,N
ACACW,Acies Acquisition Corp. - Warrant,S,N,N,100,N
ACAD,ACADIA Pharmaceuticals Inc. - Common Stock,Q,N,N,100,N
ACAH,Atlantic Coastal Acquisition Corp. - Class A Common Stock,S,N,N,100,N
ACAHU,Atlantic Coastal Acquisition Corp. - Unit,S,N,N,100,N
ACAHW,Atlantic Coastal Acquisition Corp. - Warrant,S,N,N,100,N
ACBAU,Ace Global Business Acquisition Limited - Unit,S,N,N,100,N
ACBI,"Atlantic Capital Bancshares, Inc. - Common Stock",Q,N,N,100,N
ACCD,"Accolade, Inc. - common stock",Q,N,N,100,N
ACER,Acer Therapeutics Inc. - Common Stock,S,N,N,100,N
ACET,"Adicet Bio, Inc. - Common Stock",G,N,N,100,N
ACEV,ACE Convergence Acquisition Corp. - Class A Ordinary Shares,S,N,N,100,N
ACEVU,ACE Convergence Acquisition Corp. - Unit,S,N,N,100,N
ACEVW,ACE Convergence Acquisition Corp. - Warrant,S,N,N,100,N
ACGL,Arch Capital Group Ltd. - Common Stock,Q,N,N,100,N
ACGLO,"Arch Capital Group Ltd. - Depositary Shares Each Representing 1/1,000th Interest in a Share of5.45% Non-Cumulative Preferred Shares, Series F",Q,N,N,100,N
ACGLP,Arch Capital Group Ltd. - Depositary Shares Representing Interest in 5.25% Non-Cumulative Preferred Series E Shrs,Q,N,N,100,N
ACHC,"Acadia Healthcare Company, Inc. - Common Stock",Q,N,N,100,N
ACHL,Achilles Therapeutics plc - American Depositary Shares,Q,N,N,100,N
ACHV,"Achieve Life Sciences, Inc.  - Common Shares",S,N,N,100,N
ACIU,AC Immune SA - Common Stock,G,N,N,100,N
ACIW,"ACI Worldwide, Inc. - Common Stock",Q,N,N,100,N
ACKIT,Ackrell SPAC Partners I Co.  - Subunits,S,N,N,100,N
ACKIU,Ackrell SPAC Partners I Co.  - Units,S,N,N,100,N
ACKIW,Ackrell SPAC Partners I Co.  - Warrants,S,N,N,100,N
ACLS,"Axcelis Technologies, Inc. - Common Stock",Q,N,N,100,N
ACMR,"ACM Research, Inc. - Class A Common Stock",G,N,N,100,N
ACNB,ACNB Corporation - Common Stock,S,N,N,100,N
ACOR,"Acorda Therapeutics, Inc. - Common Stock",Q,N,N,100,N
ACQRU,Independence Holdings Corp. - Units,S,N,N,100,N
ACRS,"Aclaris Therapeutics, Inc. - Common Stock",Q,N,N,100,N
ACRX,"AcelRx Pharmaceuticals, Inc. - Common Stock",G,N,N,100,N
ACST,"Acasti Pharma, Inc. - Class A Common Stock",S,N,D,100,N
ACTC,ArcLight Clean Transition Corp. - Class A Ordinary Shares,S,N,N,100,N
ACTCU,ArcLight Clean Transition Corp. - Unit,S,N,N,100,N
ACTCW,ArcLight Clean Transition Corp. - Warrant,S,N,N,100,N
ACTDU,ArcLight Clean Transition Corp. II - Unit,S,N,N,100,N
ACTG,Acacia Research Corporation - Common Stock,Q,N,N,100,N
