Ticker,Parsed
HDGE,0
ARB,0
ATSX,0
ONEC,0
ALFA,0
QCD,0
QEM,0
QMA,0
QMY,0
QIE,0
QUS,0
QBTL,0
BXS,0
HGD,0
HGU,0
HOD,0
HOU,0
HBD,0
HBU,0
HMJU,0
HMJI,0
HQD,0
HQU,0
HND,0
HNU,0
HSD,0
HSU,0
HIU,0
HUV,0
HXD,0
HXU,0
HIX,0
HED,0
HEU,0
HFD,0
HFU,0
HZD,0
HZU,0
EBIT,0
HBLK,0
ZAG,0
ZESG,0
ZBAL,0
ZBBB,0
ZDV,0
ZWC,0
ZMBS,0
ZCH,0
ZCLN,0
ZCON,0
ZCPB,0
ZCB,0
ZWB,0
ZWA,0
ZWT,0
ZWK,0
ZWU,0
ZDB,0
ZDJ,0
ZEF,0
ZEB,0
ZMT,0
ZGD,0
ZIN,0
ZEO,0
ZRE,0
ZUB,0
ZBK,0
ZUH,0
ZHU,0
ZUT,0
ESGB,0
ESGH,0
ESGF,0
ZWP,0
ZWE,0
ZFH,0
COMM,0
DISC,0
STPL,0
ZWG,0
ZGI,0
ZMSB,0
ZGSB,0
ZGB,0
ZGRO,0
ZQB,0
ZHY,0
ZJK,0
ZID,0
ZDI,0
ZDH,0
ZJG,0
ZPR,0
ZLC,0
ZFL,0
ZPL,0
ZLB,0
ZLE,0
ZLI,0
ZLD,0
ZLU,0
ZLH,0
ZCM,0
ZFM,0
ZMP,0
ZMU,0
ZIC,0
ZMI,0
ZGQ,0
ESGA,0
ZVC,0
ESGE,0
ZDM,0
ZEA,0
ZEM,0
ZEQ,0
ZFIN,0
ZGEN,0
ESGG,0
ZINN,0
ZINT,0
ZAUT,0
ESGY,0
ZUQ,0
ZVU,0
ZQQ,0
ZNQ,0
ZPAY,0
ZRR,0
ZUE,0
ZSP,0
ZMID,0
ZSML,0
ZCN,0
ZCS,0
ZFS,0
ZPS,0
ZSB,0
ZSU,0
ZTIP,0
ZFC,0
ZFN,0
